url,srcFileName,ignoredMappings,ignoredElements,RMD_TP_raw_abstractMapping,RMD_TP_abstractMapping,RMD_FP_abstractMapping,RMD_FN_abstractMapping,RMD_TP_raw_programElement,RMD_TP_programElement,RMD_FP_programElement,RMD_FN_programElement,GTG_TP_raw_abstractMapping,GTG_TP_abstractMapping,GTG_FP_abstractMapping,GTG_FN_abstractMapping,GTG_TP_raw_programElement,GTG_TP_programElement,GTG_FP_programElement,GTG_FN_programElement,GTS_TP_raw_abstractMapping,GTS_TP_abstractMapping,GTS_FP_abstractMapping,GTS_FN_abstractMapping,GTS_TP_raw_programElement,GTS_TP_programElement,GTS_FP_programElement,GTS_FN_programElement,IJM_TP_raw_abstractMapping,IJM_TP_abstractMapping,IJM_FP_abstractMapping,IJM_FN_abstractMapping,IJM_TP_raw_programElement,IJM_TP_programElement,IJM_FP_programElement,IJM_FN_programElement,MTD_TP_raw_abstractMapping,MTD_TP_abstractMapping,MTD_FP_abstractMapping,MTD_FN_abstractMapping,MTD_TP_raw_programElement,MTD_TP_programElement,MTD_FP_programElement,MTD_FN_programElement,GT2_TP_raw_abstractMapping,GT2_TP_abstractMapping,GT2_FP_abstractMapping,GT2_FN_abstractMapping,GT2_TP_raw_programElement,GT2_TP_programElement,GT2_FP_programElement,GT2_FN_programElement
Cli/commit/1,src_java_org_apache_commons_cli_CommandLine,25,12,47,22,0,2,20,8,0,0,42,17,2,7,19,7,0,1,44,19,3,5,20,8,0,0,49,24,0,0,20,8,0,0,41,16,9,8,19,7,1,1,47,22,1,2,19,7,0,1
Cli/commit/10,src_java_org_apache_commons_cli_Parser,132,14,135,3,0,0,16,2,0,0,135,3,0,0,16,2,0,0,135,3,0,0,16,2,0,0,135,3,0,0,16,2,0,0,135,3,0,0,16,2,0,0,135,3,0,0,16,2,0,0
Cli/commit/11,src_java_org_apache_commons_cli_HelpFormatter,227,55,242,15,0,0,57,2,0,0,242,15,0,0,57,2,0,0,242,15,0,0,57,2,0,0,242,15,0,0,57,2,0,0,242,15,0,0,57,2,0,0,242,15,0,0,57,2,0,0
Cli/commit/12,src_java_org_apache_commons_cli_GnuParser,0,0,35,35,0,0,2,2,0,0,35,35,0,0,2,2,0,0,35,35,0,0,2,2,0,0,35,35,0,0,2,2,0,0,34,34,1,1,2,2,0,0,35,35,0,0,2,2,0,0
Cli/commit/13,src_java_org_apache_commons_cli2_commandline_WriteableCommandLineImpl,98,27,98,0,0,0,28,1,0,0,98,0,0,0,28,1,0,0,98,0,0,0,28,1,0,0,98,0,0,0,28,1,0,0,98,0,0,0,28,1,0,0,98,0,0,0,28,1,0,0
Cli/commit/13,src_java_org_apache_commons_cli2_option_ArgumentImpl,116,37,147,31,0,1,39,2,0,0,148,32,0,0,39,2,0,0,148,32,0,0,39,2,0,0,148,32,0,0,39,2,0,0,148,32,0,0,39,2,0,0,148,32,0,0,39,2,0,0
Cli/commit/13,src_java_org_apache_commons_cli2_WriteableCommandLine,0,7,0,0,0,0,8,1,0,0,0,0,0,0,8,1,0,0,0,0,0,0,8,1,0,0,0,0,0,0,8,1,0,0,0,0,0,0,8,1,0,0,0,0,0,0,8,1,0,0
Cli/commit/14,src_java_org_apache_commons_cli2_option_GroupImpl,220,30,246,26,0,1,32,2,0,0,247,27,0,0,32,2,0,0,247,27,0,0,32,2,0,0,247,27,0,0,32,2,0,0,247,27,0,0,32,2,0,0,247,27,0,0,32,2,0,0
Cli/commit/15,src_java_org_apache_commons_cli2_commandline_WriteableCommandLineImpl,111,30,120,9,0,0,32,2,0,0,119,8,0,1,32,2,0,0,119,8,0,1,32,2,0,0,120,9,0,0,32,2,0,0,118,7,1,2,32,2,0,0,120,9,0,0,32,2,0,0
Cli/commit/16,src_java_org_apache_commons_cli2_Option,0,14,0,0,0,0,15,1,0,0,0,0,0,0,15,1,0,0,0,0,0,0,15,1,0,0,0,0,0,0,15,1,0,0,0,0,0,0,15,1,0,0,0,0,0,0,15,1,0,0
Cli/commit/16,src_java_org_apache_commons_cli2_option_OptionImpl,72,14,72,0,0,0,15,1,0,0,72,0,0,0,15,1,0,0,72,0,0,0,15,1,0,0,72,0,0,0,15,1,0,0,72,0,0,0,15,1,0,0,72,0,0,0,15,1,0,0
Cli/commit/16,src_java_org_apache_commons_cli2_option_GroupImpl,221,30,247,26,0,0,32,2,0,0,247,26,0,0,32,2,0,0,247,26,0,0,32,2,0,0,247,26,0,0,32,2,0,0,247,26,0,0,32,2,0,0,247,26,0,0,32,2,0,0
Cli/commit/16,src_java_org_apache_commons_cli2_commandline_WriteableCommandLineImpl,123,30,129,6,0,0,32,2,0,0,129,6,0,0,32,2,0,0,129,6,0,0,32,2,0,0,129,6,0,0,32,2,0,0,129,6,0,0,32,2,0,0,129,6,0,0,32,2,0,0
Cli/commit/17,src_java_org_apache_commons_cli_PosixParser,71,10,89,18,0,0,12,2,0,0,89,18,0,0,12,2,0,0,89,18,0,0,12,2,0,0,89,18,0,0,12,2,0,0,89,18,0,0,12,2,0,0,89,18,0,0,12,2,0,0
Cli/commit/18,src_java_org_apache_commons_cli_PosixParser,43,8,86,43,0,0,11,3,0,0,85,42,1,1,11,3,0,0,84,41,3,2,11,3,0,0,85,42,1,1,11,3,0,0,84,41,2,2,11,3,0,0,85,42,1,1,11,3,0,0
Cli/commit/19,src_java_org_apache_commons_cli_PosixParser,78,9,87,9,0,0,11,2,0,0,86,8,0,1,11,2,0,0,86,8,0,1,11,2,0,0,86,8,0,1,11,2,0,0,82,4,1,5,11,2,0,0,86,8,0,1,11,2,0,0
Cli/commit/2,src_java_org_apache_commons_cli_PosixParser,72,10,91,19,0,0,12,2,0,0,91,19,0,0,12,2,0,0,89,17,0,2,12,2,0,0,91,19,0,0,12,2,0,0,91,19,0,0,12,2,0,0,91,19,0,0,12,2,0,0
Cli/commit/20,src_java_org_apache_commons_cli_PosixParser,51,9,82,31,3,1,11,2,0,0,80,29,2,3,11,2,0,0,81,30,3,2,11,2,0,0,80,29,2,3,11,2,0,0,81,30,3,2,11,2,0,0,80,29,2,3,11,2,0,0
Cli/commit/21,src_java_org_apache_commons_cli2_option_GroupImpl,248,31,250,2,0,0,33,2,0,0,249,1,1,1,33,2,0,0,249,1,1,1,33,2,0,0,249,1,1,1,33,2,0,0,250,2,0,0,33,2,0,0,249,1,1,1,33,2,0,0
Cli/commit/21,src_java_org_apache_commons_cli2_commandline_WriteableCommandLineImpl,123,29,134,11,0,0,32,3,0,0,132,9,2,2,32,3,0,0,132,9,2,2,32,3,0,0,132,9,2,2,32,3,0,0,132,9,2,2,31,2,1,1,132,9,2,2,32,3,0,0
Cli/commit/21,src_java_org_apache_commons_cli2_WriteableCommandLine,0,9,0,0,0,0,10,1,0,0,0,0,0,0,10,1,0,0,0,0,0,0,10,1,0,0,0,0,0,0,10,1,0,0,0,0,0,0,10,1,0,0,0,0,0,0,10,1,0,0
Cli/commit/22,src_java_org_apache_commons_cli_PosixParser,9,5,70,61,0,1,10,5,0,0,67,58,3,4,10,5,0,0,65,56,4,6,10,5,0,0,69,60,1,2,10,5,0,0,68,59,2,3,10,5,0,0,69,60,1,2,10,5,0,0
Cli/commit/23,src_java_org_apache_commons_cli_HelpFormatter,224,55,242,18,0,1,57,2,0,0,243,19,0,0,57,2,0,0,241,17,0,2,57,2,0,0,241,17,0,2,57,2,0,0,242,18,0,1,57,2,0,0,241,17,0,2,57,2,0,0
Cli/commit/24,src_java_org_apache_commons_cli_HelpFormatter,224,55,246,22,0,0,57,2,0,0,246,22,0,0,57,2,0,0,246,22,0,0,57,2,0,0,246,22,0,0,57,2,0,0,246,22,0,0,57,2,0,0,246,22,0,0,57,2,0,0
Cli/commit/25,src_java_org_apache_commons_cli_HelpFormatter,224,55,247,23,0,0,57,2,0,0,247,23,0,0,57,2,0,0,247,23,0,0,57,2,0,0,247,23,0,0,57,2,0,0,247,23,0,0,57,2,0,0,247,23,0,0,57,2,0,0
Cli/commit/26,src_java_org_apache_commons_cli_OptionBuilder,66,28,77,11,0,0,30,2,0,0,76,10,0,1,30,2,0,0,77,11,0,0,30,2,0,0,75,9,1,2,30,2,0,0,76,10,0,1,30,2,0,0,74,8,1,3,30,2,0,0
Cli/commit/27,src_java_org_apache_commons_cli_OptionGroup,34,11,44,10,0,0,13,2,0,0,44,10,0,0,13,2,0,0,44,10,0,0,13,2,0,0,44,10,0,0,13,2,0,0,44,10,0,0,13,2,0,0,44,10,0,0,13,2,0,0
Cli/commit/28,src_java_org_apache_commons_cli_Parser,108,14,130,22,0,0,16,2,0,0,130,22,0,0,16,2,0,0,130,22,0,0,16,2,0,0,130,22,0,0,16,2,0,0,130,22,0,0,16,2,0,0,130,22,0,0,16,2,0,0
Cli/commit/29,src_java_org_apache_commons_cli_Util,11,1,17,6,0,0,3,2,0,0,17,6,0,0,3,2,0,0,17,6,0,0,3,2,0,0,16,5,0,1,3,2,0,0,17,6,0,0,3,2,0,0,16,5,0,1,3,2,0,0
Cli/commit/3,src_java_org_apache_commons_cli_TypeHandler,75,8,82,7,0,1,10,2,0,0,81,6,1,2,10,2,0,0,81,6,1,2,10,2,0,0,81,6,0,2,10,2,0,0,82,7,0,1,10,2,0,0,81,6,0,2,10,2,0,0
Cli/commit/30,src_main_java_org_apache_commons_cli_DefaultParser,230,29,251,21,0,0,31,2,0,0,251,21,0,0,31,2,0,0,251,21,0,0,31,2,0,0,251,21,0,0,31,2,0,0,251,21,0,0,31,2,0,0,251,21,0,0,31,2,0,0
Cli/commit/30,src_main_java_org_apache_commons_cli_Parser,110,15,134,24,0,0,17,2,0,0,133,23,1,1,17,2,0,0,134,24,0,0,17,2,0,0,133,23,0,1,17,2,0,0,133,23,1,1,17,2,0,0,133,23,0,1,17,2,0,0
Cli/commit/31,src_main_java_org_apache_commons_cli_HelpFormatter,238,59,254,16,0,0,61,2,0,0,254,16,0,0,61,2,0,0,254,16,0,0,61,2,0,0,254,16,0,0,61,2,0,0,254,16,0,0,61,2,0,0,254,16,0,0,61,2,0,0
Cli/commit/31,src_main_java_org_apache_commons_cli_OptionBuilder,72,28,83,11,0,0,30,2,0,0,83,11,0,0,30,2,0,0,82,10,0,1,30,2,0,0,83,11,0,0,30,2,0,0,83,11,0,0,30,2,0,0,83,11,0,0,30,2,0,0
Cli/commit/31,src_main_java_org_apache_commons_cli_Option,163,56,163,0,0,0,58,2,0,0,163,0,0,0,58,2,0,0,163,0,0,0,58,2,0,0,163,0,0,0,58,2,0,0,163,0,0,0,58,2,0,0,163,0,0,0,58,2,0,0
Cli/commit/32,src_main_java_org_apache_commons_cli_HelpFormatter,231,59,249,18,0,0,61,2,0,0,249,18,0,0,61,2,0,0,249,18,0,0,61,2,0,0,249,18,0,0,61,2,0,0,249,18,0,0,61,2,0,0,249,18,0,0,61,2,0,0
Cli/commit/33,src_main_java_org_apache_commons_cli_HelpFormatter,245,59,249,4,0,0,61,2,0,0,249,4,0,0,61,2,0,0,249,4,0,0,61,2,0,0,249,4,0,0,61,2,0,0,249,4,0,0,61,2,0,0,249,4,0,0,61,2,0,0
Cli/commit/34,src_main_java_org_apache_commons_cli_OptionBuilder,72,28,83,11,0,0,30,2,0,0,83,11,0,0,30,2,0,0,82,10,0,1,30,2,0,0,83,11,0,0,30,2,0,0,83,11,0,0,30,2,0,0,83,11,0,0,30,2,0,0
Cli/commit/34,src_main_java_org_apache_commons_cli_Option,163,56,163,0,0,0,58,2,0,0,163,0,0,0,58,2,0,0,163,0,0,0,58,2,0,0,163,0,0,0,58,2,0,0,163,0,0,0,58,2,0,0,163,0,0,0,58,2,0,0
Cli/commit/35,src_main_java_org_apache_commons_cli_Options,65,20,74,9,0,0,22,2,0,0,74,9,0,0,22,2,0,0,74,9,0,0,22,2,0,0,74,9,0,0,22,2,0,0,74,9,0,0,22,2,0,0,74,9,0,0,22,2,0,0
Cli/commit/36,src_main_java_org_apache_commons_cli_Options,77,20,77,0,0,0,22,2,0,0,77,0,0,0,22,2,0,0,77,0,0,0,22,2,0,0,77,0,0,0,22,2,0,0,77,0,0,0,22,2,0,0,77,0,0,0,22,2,0,0
Cli/commit/36,src_main_java_org_apache_commons_cli_OptionGroup,46,11,46,0,0,0,13,2,0,0,46,0,0,0,13,2,0,0,46,0,0,0,13,2,0,0,46,0,0,0,13,2,0,0,46,0,0,0,13,2,0,0,46,0,0,0,13,2,0,0
Cli/commit/37,src_main_java_org_apache_commons_cli_DefaultParser,253,29,255,2,0,0,31,2,0,0,253,0,0,2,30,1,0,1,255,2,0,0,31,2,0,0,254,1,0,1,31,2,0,0,255,2,0,0,31,2,0,0,254,1,0,1,31,2,0,0
Cli/commit/38,src_main_java_org_apache_commons_cli_DefaultParser,253,29,259,6,1,1,31,2,0,0,259,6,1,1,31,2,0,0,259,6,1,1,31,2,0,0,260,7,0,0,31,2,0,0,260,7,0,0,31,2,0,0,259,6,1,1,31,2,0,0
Cli/commit/39,src_main_java_org_apache_commons_cli_TypeHandler,41,8,71,30,0,0,10,2,0,0,71,30,0,0,10,2,0,0,71,30,0,0,10,2,0,0,71,30,0,0,10,2,0,0,71,30,0,0,10,2,0,0,60,19,8,11,10,2,0,0
Cli/commit/4,src_java_org_apache_commons_cli_Parser,117,11,126,9,0,0,13,2,0,0,126,9,0,0,13,2,0,0,126,9,0,0,13,2,0,0,126,9,0,0,13,2,0,0,126,9,0,0,13,2,0,0,126,9,0,0,13,2,0,0
Cli/commit/40,src_main_java_org_apache_commons_cli_TypeHandler,47,9,76,29,0,0,11,2,0,0,76,29,0,0,11,2,0,0,75,28,0,1,11,2,0,0,76,29,0,0,11,2,0,0,76,29,0,0,11,2,0,0,76,29,0,0,11,2,0,0
Cli/commit/5,src_java_org_apache_commons_cli_Util,8,1,16,8,0,0,3,2,0,0,16,8,0,0,3,2,0,0,16,8,0,0,3,2,0,0,16,8,0,0,3,2,0,0,16,8,0,0,3,2,0,0,16,8,0,0,3,2,0,0
Cli/commit/7,src_java_org_apache_commons_cli2_builder_PatternBuilder,101,10,101,0,0,0,12,2,0,0,101,0,0,0,12,2,0,0,101,0,0,0,11,1,0,1,101,0,0,0,12,2,0,0,101,0,0,0,12,2,0,0,101,0,0,0,12,2,0,0
Cli/commit/8,src_java_org_apache_commons_cli_HelpFormatter,217,52,234,17,0,0,54,2,0,0,234,17,0,0,54,2,0,0,233,16,0,1,54,2,0,0,234,17,0,0,54,2,0,0,234,17,0,0,54,2,0,0,234,17,0,0,54,2,0,0
Cli/commit/9,src_java_org_apache_commons_cli_Parser,123,14,134,11,0,0,16,2,0,0,134,11,0,0,16,2,0,0,134,11,0,0,16,2,0,0,134,11,0,0,16,2,0,0,134,11,0,0,16,2,0,0,134,11,0,0,16,2,0,0
Closure/commit/1,src_com_google_javascript_jscomp_RemoveUnusedVars,418,57,440,22,0,0,59,2,0,0,440,22,0,0,59,2,0,0,440,22,0,0,59,2,0,0,440,22,0,0,59,2,0,0,440,22,0,0,59,2,0,0,440,22,0,0,59,2,0,0
Closure/commit/10,src_com_google_javascript_jscomp_NodeUtil,1738,190,1744,6,0,0,192,2,0,0,1744,6,0,0,192,2,0,0,1744,6,0,0,192,2,0,0,1744,6,0,0,192,2,0,0,1744,6,0,0,192,2,0,0,1744,6,0,0,192,2,0,0
Closure/commit/100,src_com_google_javascript_jscomp_CheckGlobalThis,26,7,58,32,0,0,10,3,0,0,57,31,1,1,10,3,0,0,57,31,1,1,10,3,0,0,58,32,0,0,10,3,0,0,57,31,1,1,10,3,0,0,58,32,0,0,10,3,0,0
Closure/commit/101,src_com_google_javascript_jscomp_CommandLineRunner,91,50,106,15,0,1,52,2,0,0,107,16,0,0,52,2,0,0,106,15,0,1,52,2,0,0,107,16,0,0,52,2,0,0,107,16,0,0,52,2,0,0,107,16,0,0,52,2,0,0
Closure/commit/102,src_com_google_javascript_jscomp_Normalize,222,35,231,9,0,0,37,2,0,0,231,9,0,0,37,2,0,0,231,9,0,0,37,2,0,0,231,9,0,0,37,2,0,0,231,9,0,0,37,2,0,0,231,9,0,0,37,2,0,0
Closure/commit/103,src_com_google_javascript_jscomp_ControlFlowAnalysis,512,54,531,19,0,0,56,2,0,0,531,19,0,0,56,2,0,0,531,19,0,0,56,2,0,0,531,19,0,0,56,2,0,0,531,19,0,0,56,2,0,0,531,19,0,0,56,2,0,0
Closure/commit/103,src_com_google_javascript_jscomp_DisambiguateProperties,449,94,469,20,0,0,97,3,0,0,469,20,0,0,97,3,0,0,469,20,0,0,97,3,0,0,469,20,0,0,97,3,0,0,469,20,0,0,97,3,0,0,469,20,0,0,97,3,0,0
Closure/commit/104,src_com_google_javascript_rhino_jstype_UnionType,223,31,249,26,0,0,33,2,0,0,249,26,0,0,33,2,0,0,249,26,0,0,33,2,0,0,249,26,0,0,33,2,0,0,249,26,0,0,33,2,0,0,249,26,0,0,33,2,0,0
Closure/commit/105,src_com_google_javascript_jscomp_FoldConstants,1185,57,1253,68,0,2,59,2,0,0,1255,70,0,0,59,2,0,0,1254,69,0,1,59,2,0,0,1255,70,0,0,59,2,0,0,1254,69,1,1,59,2,0,0,1255,70,0,0,59,2,0,0
Closure/commit/106,src_com_google_javascript_rhino_JSDocInfoBuilder,327,54,330,3,0,0,56,2,0,0,329,2,1,1,56,2,0,0,329,2,1,1,56,2,0,0,329,2,1,1,56,2,0,0,330,3,0,0,56,2,0,0,329,2,1,1,56,2,0,0
Closure/commit/106,src_com_google_javascript_jscomp_GlobalNamespace,515,84,523,8,0,0,87,3,0,0,523,8,0,0,87,3,0,0,523,8,0,0,87,3,0,0,523,8,0,0,87,3,0,0,523,8,0,0,87,3,0,0,523,8,0,0,87,3,0,0
Closure/commit/107,src_com_google_javascript_jscomp_CommandLineRunner,208,101,246,38,0,0,103,2,0,0,246,38,0,0,103,2,0,0,246,38,0,0,103,2,0,0,246,38,0,0,103,2,0,0,246,38,0,0,103,2,0,0,246,38,0,0,103,2,0,0
Closure/commit/108,src_com_google_javascript_jscomp_ScopedAliases,172,50,280,108,0,0,55,5,0,0,280,108,0,0,55,5,0,0,280,108,0,0,55,5,0,0,280,108,0,0,55,5,0,0,280,108,0,0,55,5,0,0,280,108,0,0,55,5,0,0
Closure/commit/109,src_com_google_javascript_jscomp_parsing_JsDocInfoParser,1483,101,1484,1,0,1,103,2,0,0,1484,1,1,1,103,2,0,0,1484,1,1,1,103,2,0,0,1484,1,0,1,103,2,0,0,1484,1,1,1,103,2,0,0,1484,1,0,1,103,2,0,0
Closure/commit/11,src_com_google_javascript_jscomp_TypeCheck,880,87,891,11,0,0,89,2,0,0,890,10,1,1,89,2,0,0,890,10,1,1,89,2,0,0,890,10,1,1,89,2,0,0,890,10,1,1,89,2,0,0,890,10,1,1,89,2,0,0
Closure/commit/110,src_com_google_javascript_rhino_Node,1181,315,1193,12,0,0,317,2,0,0,1193,12,0,0,317,2,0,0,1193,12,0,0,317,2,0,0,1193,12,0,0,317,2,0,0,1193,12,0,0,317,2,0,0,1193,12,0,0,317,2,0,0
