"ParentTypesPair","First","Second","URL"
"MethodInvocation:VariableDeclarationFragment","SimpleName: oldName [8855,8862]","SimpleName: referencedNames [8981,8996]","Closure/commit/137"
"MethodInvocation:VariableDeclarationFragment","SimpleName: suffix [9183,9189]","SimpleName: getOrginalName [9629,9643]","Closure/commit/137"
"Assignment:InfixExpression","SimpleName: var [8879,8882]","SimpleName: referencedNames [9004,9019]","Closure/commit/137"
"IfStatement:MethodDeclaration","Block [12118,12547]","Block [12643,13082]","Closure/commit/137"
"MethodDeclaration:MethodInvocation","SimpleName: getNameSuffix [8269,8282]","SimpleName: push [8417,8421]","Closure/commit/137"
"Assignment:MethodInvocation","SimpleName: substring [8327,8336]","SimpleName: referencedNames [8446,8461]","Closure/commit/137"
"MethodInvocation:SingleVariableDeclaration","SimpleName: oldName [9085,9092]","SimpleName: v [9528,9529]","Closure/commit/137"
"MethodInvocation:SimpleType","SimpleName: indexOfSeparator [9068,9084]","SimpleName: Var [9524,9527]","Closure/commit/137"
"MethodInvocation:VariableDeclarationFragment","SimpleName: var [8829,8832]","SimpleName: v [8846,8847]","Closure/commit/137"
"IfStatement:MethodDeclaration","Block [20858,21223]","Block [21550,21630]","Closure/commit/145"
"MethodDeclaration:SimpleType","SimpleName: writeClosedMapping [15003,15021]","SimpleName: MappingVisitor [17271,17285]","Closure/commit/148"
"MethodDeclaration:SimpleType","SimpleName: writeCharsBetween [15513,15530]","SimpleName: MappingVisitor [17788,17802]","Closure/commit/148"
"IfStatement:MethodDeclaration","Block [13623,13655]","Block [13211,13247]","Closure/commit/148"
"MethodInvocation:PostfixExpression","SimpleName: appendTo [10238,10246]","SimpleName: id [11166,11168]","Closure/commit/148"
"IfStatement:MethodDeclaration","Block [13515,13574]","Block [13016,13081]","Closure/commit/148"
"Assignment:MethodInvocation","SimpleName: size [4761,4765]","SimpleName: sourceFile [5405,5415]","Closure/commit/148"
"IfStatement:MethodDeclaration","Block [13716,13843]","Block [13437,13578]","Closure/commit/148"
"MethodInvocation:VariableDeclarationFragment","SimpleName: originalPosition [2589,2605]","SimpleName: line [3202,3206]","Closure/commit/148"
"MethodInvocation:SuperMethodInvocation","SimpleName: attachLiteralTypes [52866,52884]","SimpleName: t [52878,52879]","Closure/commit/150"
"InfixExpression:MethodInvocation","SimpleName: cc [20571,20573]","SimpleName: c [22163,22164]","Closure/commit/157"
"EnhancedForStatement:MethodDeclaration","Block [7093,7263]","Block [7008,7176]","Closure/commit/158"
"Assignment:MethodInvocation","SimpleName: clear [47607,47612]","SimpleName: spec [47521,47525]","Closure/commit/158"
"MethodInvocation:SingleVariableDeclaration","SimpleName: diagnosticGroups [6340,6356]","SimpleName: entry [6410,6415]","Closure/commit/158"
"MethodInvocation:SimpleType","SimpleName: Node [26722,26726]","SimpleName: isCandidateUsage [26726,26742]","Closure/commit/159"
"InfixExpression:MethodInvocation","SimpleName: warningsGuard [9166,9179]","SimpleName: composedGuards [9242,9256]","Closure/commit/160"
"MethodInvocation:VariableDeclarationFragment","SimpleName: restrictedType [14310,14324]","SimpleName: type [14468,14472]","Closure/commit/167"
"IfStatement:InfixExpression","SimpleName: tolerateUnknowns [15843,15859]","SimpleName: eqMethod [15983,15991]","Closure/commit/169"
"IfStatement:InfixExpression","SimpleName: tolerateUnknowns [14174,14190]","SimpleName: eqMethod [14424,14432]","Closure/commit/169"
"InfixExpression:PrefixExpression","SimpleName: tolerateUnknowns [9630,9646]","SimpleName: eqMethod [9631,9639]","Closure/commit/169"
"FieldAccess:MethodInvocation","SimpleName: getFunctionParameters [24435,24456]","SimpleName: throwawayNameSupplier [24738,24759]","Closure/commit/175"
"InfixExpression:VariableDeclarationFragment","SimpleName: cArg [24569,24573]","SimpleName: allNamesToAlias [24866,24881]","Closure/commit/175"
"IfStatement:InfixExpression","SimpleName: cArg [24493,24497]","SimpleName: hasArgs [24809,24816]","Closure/commit/175"
"InfixExpression:SimpleType","SimpleName: fnParam [24509,24516]","SimpleName: Set [24854,24857]","Closure/commit/175"
"MethodInvocation:VariableDeclarationFragment","SimpleName: fnParam [24416,24423]","SimpleName: FunctionArgumentInjector [24649,24673]","Closure/commit/175"
"InfixExpression:SimpleType","SimpleName: fnParam [24538,24545]","SimpleName: String [24858,24864]","Closure/commit/175"
"IfStatement:MethodDeclaration","Block [40205,40490]","Block [39678,39931]","Closure/commit/35"
"MethodDeclaration:SimpleType","SimpleName: Node [6970,6974]","SimpleName: computeFollowing [6426,6442]","Closure/commit/85"
"MethodInvocation:SimpleType","SimpleName: String [15224,15230]","SimpleName: newString [15220,15229]","Codec/commit/17"
"MethodInvocation:VariableDeclarationFragment","SimpleName: ret [4192,4195]","SimpleName: single [4787,4793]","Compress/commit/2"
"MethodInvocation:ReturnStatement","SimpleName: getLocalFileDataLength [5136,5158]","SimpleName: ZERO [5194,5198]","Compress/commit/34"
"InfixExpression:VariableDeclarationFragment","SimpleName: TWO_TO_32 [18910,18919]","SimpleName: l [18903,18904]","Compress/commit/46"
"ArrayAccess:InfixExpression","SimpleName: buffer [3619,3625]","SimpleName: b [3661,3662]","Compress/commit/7"
"IfStatement:MethodDeclaration","Block [21831,21962]","Block [20582,21925]","Csv/commit/8"
"MethodInvocation:SimpleType","SimpleName: JsonParseException [3572,3590]","SimpleName: nextNull [3563,3571]","Gson/commit/17"
"MethodDeclaration:TryStatement","Block [10200,10250]","Block [10214,10268]","JacksonCore/commit/1"
"MethodDeclaration:TryStatement","Block [10538,10601]","Block [10662,10729]","JacksonCore/commit/1"
"ClassInstanceCreation:MethodInvocation","SimpleName: getTokenLineNr [125176,125190]","SimpleName: _tokenInputRow [125167,125181]","JacksonCore/commit/12"
"ClassInstanceCreation:MethodInvocation","SimpleName: getTokenCharacterOffset [125144,125167]","SimpleName: _tokenInputTotal [125144,125160]","JacksonCore/commit/12"
"ClassInstanceCreation:MethodInvocation","SimpleName: getTokenCharacterOffset [92020,92043]","SimpleName: _nameInputRow [92281,92294]","JacksonCore/commit/12"
"ClassInstanceCreation:MethodInvocation","SimpleName: getTokenLineNr [92063,92077]","SimpleName: _tokenInputRow [92399,92413]","JacksonCore/commit/12"
"MethodInvocation:SimpleType","SimpleName: String [21698,21704]","SimpleName: _asString [21714,21723]","JacksonCore/commit/18"
"MethodInvocation:SimpleType","SimpleName: String [29931,29937]","SimpleName: _asString [29947,29956]","JacksonCore/commit/18"
"SimpleType:VariableDeclarationFragment","SimpleName: data [10527,10531]","SimpleName: TextNode [10537,10545]","JacksonDatabind/commit/100"
"MethodInvocation:SimpleType","SimpleName: _unknownType [35563,35575]","SimpleName: Class [35590,35595]","JacksonDatabind/commit/11"
"IfStatement:MethodDeclaration","Block [7630,7914]","Block [8546,8633]","JacksonDatabind/commit/15"
"IfStatement:MethodDeclaration","Block [24876,25003]","Block [25357,25487]","JacksonDatabind/commit/2"
"IfStatement:MethodDeclaration","Block [24463,24796]","Block [24747,25084]","JacksonDatabind/commit/2"
"Assignment:IfStatement","SimpleName: cachable [46128,46136]","SimpleName: key [46448,46451]","JacksonDatabind/commit/53"
"DoStatement:MethodDeclaration","Block [11687,16158]","Block [17891,18845]","JacksonDatabind/commit/53"
"MethodInvocation:VariableDeclarationFragment","SimpleName: pkgName [4945,4952]","SimpleName: cls [4927,4930]","JacksonDatabind/commit/63"
"SimpleType:VariableDeclarationFragment","SimpleName: String [4938,4944]","SimpleName: arrays [4888,4894]","JacksonDatabind/commit/63"
"IfStatement:MethodDeclaration","Block [13297,13597]","Block [13364,13438]","JacksonDatabind/commit/7"
"InfixExpression:MethodInvocation","SimpleName: getName [14918,14925]","SimpleName: i [14923,14924]","JacksonDatabind/commit/70"
"ArrayAccess:MethodInvocation","SimpleName: prop [14913,14917]","SimpleName: _hashArea [14913,14922]","JacksonDatabind/commit/70"
"IfStatement:MethodDeclaration","Block [19821,19906]","Block [19707,20028]","JacksonDatabind/commit/79"
"InfixExpression:SimpleType","SimpleName: ObjectIdInfo [17380,17392]","SimpleName: objectIdInfo [17379,17391]","JacksonDatabind/commit/79"
"ArrayInitializer:VariableDeclarationFragment","SimpleName: DATE_FORMAT_STR_ISO8601_Z [2056,2081]","SimpleName: DATE_FORMAT_STR_ISO8601_NO_TZ [1569,1598]","JacksonDatabind/commit/87"
"Assignment:InfixExpression","SimpleName: found [5358,5363]","SimpleName: looksLegit [5247,5257]","Jsoup/commit/28"
"InfixExpression:MethodInvocation","SimpleName: o [42312,42313]","SimpleName: equals [42308,42314]","Jsoup/commit/41"
"MethodInvocation:VariableDeclarationFragment","SimpleName: declaration [2843,2854]","SimpleName: parse [2881,2886]","Jsoup/commit/52"
"ClassInstanceCreation:MethodInvocation","SimpleName: declaration [2920,2931]","SimpleName: tagName [3056,3063]","Jsoup/commit/52"
"IfStatement:MethodDeclaration","Block [1226,1698]","Block [1128,1207]","Jsoup/commit/52"
"MethodInvocation:SimpleType","SimpleName: String [1144,1150]","SimpleName: html [1156,1160]","Jsoup/commit/52"
"MethodDeclaration:TryStatement","Block [986,1075]","Block [1000,1093]","Jsoup/commit/60"
"InfixExpression:MethodInvocation","SimpleName: preserveWhitespace [40207,40225]","SimpleName: el [40245,40247]","Jsoup/commit/70"
"ReturnStatement:SimpleType","SimpleName: UnsupportedOperationException [2141,2170]","SimpleName: EmptyNodes [2242,2252]","Jsoup/commit/79"
"FieldAccess:MethodInvocation","SimpleName: name [38657,38661]","SimpleName: normalName [38672,38682]","Jsoup/commit/87"
"Assignment:VariableDeclarationFragment","SimpleName: name [2539,2543]","SimpleName: nodeNameTest [2964,2976]","JxPath/commit/18"
"MethodInvocation:VariableDeclarationFragment","SimpleName: nm [19295,19297]","SimpleName: n [19285,19286]","JxPath/commit/19"
"MethodInvocation:SimpleType","SimpleName: String [19288,19294]","SimpleName: matchesQName [19272,19284]","JxPath/commit/19"
"MethodDeclaration:SingleVariableDeclaration","SimpleName: computeValue [1326,1338]","SimpleName: compare [1252,1259]","JxPath/commit/7"
"MethodDeclaration:SimpleType","SimpleName: Object [1319,1325]","SimpleName: evaluateCompare [1232,1247]","JxPath/commit/7"
"MethodDeclaration:SingleVariableDeclaration","SimpleName: computeValue [1320,1332]","SimpleName: compare [1246,1253]","JxPath/commit/7"
"MethodDeclaration:SimpleType","SimpleName: Object [1313,1319]","SimpleName: evaluateCompare [1226,1241]","JxPath/commit/7"
"MethodDeclaration:SimpleType","SimpleName: Object [1290,1296]","SimpleName: evaluateCompare [1203,1218]","JxPath/commit/7"
"MethodDeclaration:SingleVariableDeclaration","SimpleName: computeValue [1297,1309]","SimpleName: compare [1223,1230]","JxPath/commit/7"
"MethodDeclaration:SimpleType","SimpleName: Object [1296,1302]","SimpleName: evaluateCompare [1209,1224]","JxPath/commit/7"
"MethodDeclaration:SingleVariableDeclaration","SimpleName: computeValue [1303,1315]","SimpleName: compare [1229,1236]","JxPath/commit/7"
"ArrayAccess:InfixExpression","SimpleName: array [136898,136903]","SimpleName: noOfItems [136897,136906]","Lang/commit/20"
"MethodInvocation:VariableDeclarationFragment","SimpleName: contains [40209,40217]","SimpleName: max [40244,40247]","Lang/commit/40"
"Assignment:MethodInvocation","SimpleName: days [12545,12549]","SimpleName: getActualMaximum [12598,12614]","Lang/commit/63"
"MethodDeclaration:TryStatement","Block [3540,3660]","Block [3554,3678]","Math/commit/103"
"IfStatement:MethodDeclaration","Block [23175,23292]","Block [23500,23621]","Math/commit/13"
"IfStatement:MethodDeclaration","Block [10321,10438]","Block [10647,10768]","Math/commit/14"
"ForStatement:MethodDeclaration","Block [1722,1785]","Block [1548,1645]","Math/commit/14"
"MethodInvocation:SimpleType","SimpleName: createRealMatrix [1656,1672]","SimpleName: DiagonalMatrix [1616,1630]","Math/commit/14"
"IfStatement:MethodDeclaration","Block [49345,49388]","Block [49380,49427]","Math/commit/17"
"ArrayAccess:VariableDeclarationFragment","SimpleName: swap [3491,3495]","SimpleName: swapR [3457,3462]","Math/commit/21"
"ArrayAccess:Assignment","SimpleName: ii [3658,3660]","SimpleName: i [3669,3670]","Math/commit/21"
"ArrayAccess:InfixExpression","SimpleName: swap [3791,3795]","SimpleName: swapR [3751,3756]","Math/commit/21"
"ArrayAccess:InfixExpression","SimpleName: e [5307,5308]","SimpleName: c [5513,5514]","Math/commit/21"
"ArrayAccess:Assignment","SimpleName: swap [3699,3703]","SimpleName: swapR [3661,3666]","Math/commit/21"
"ArrayAccess:InfixExpression","SimpleName: i [5120,5121]","SimpleName: ii [5494,5496]","Math/commit/21"
"MethodInvocation:VariableDeclarationFragment","SimpleName: iter [11633,11637]","SimpleName: getDimension [11638,11650]","Math/commit/29"
"InfixExpression:MethodInvocation","SimpleName: iter [11705,11709]","SimpleName: n [11682,11683]","Math/commit/29"
"MethodInvocation:VariableDeclarationFragment","SimpleName: iter [11675,11679]","SimpleName: i [11671,11672]","Math/commit/29"
"MethodInvocation:PostfixExpression","SimpleName: advance [11710,11717]","SimpleName: i [11685,11686]","Math/commit/29"
"InfixExpression:MethodInvocation","SimpleName: hasNext [11680,11687]","SimpleName: i [11678,11679]","Math/commit/29"
"SimpleType:VariableDeclarationFragment","SimpleName: Iterator [11624,11632]","SimpleName: n [11634,11635]","Math/commit/29"
"Assignment:MethodInvocation","SimpleName: Double [5279,5285]","SimpleName: dN [5207,5209]","Math/commit/31"
"Assignment:InfixExpression","SimpleName: lastScaleFactor [5894,5909]","SimpleName: small [5345,5350]","Math/commit/31"
"MethodInvocation:VariableDeclarationFragment","SimpleName: maxPower [5416,5424]","SimpleName: Precision [5288,5297]","Math/commit/31"
"Assignment:MethodInvocation","SimpleName: isInfinite [5286,5296]","SimpleName: small [5212,5217]","Math/commit/31"
"MethodInvocation:VariableDeclarationFragment","SimpleName: scale [5459,5464]","SimpleName: equals [5298,5304]","Math/commit/31"
"InfixExpression:SimpleType","SimpleName: Variance [6321,6329]","SimpleName: variance [6300,6308]","Math/commit/43"
"InfixExpression:SimpleType","SimpleName: Mean [6225,6229]","SimpleName: mean [6215,6219]","Math/commit/43"
"InfixExpression:SimpleType","SimpleName: GeometricMean [6424,6437]","SimpleName: geoMean [6392,6399]","Math/commit/43"
"ConditionalExpression:MethodInvocation","SimpleName: divisor [9460,9467]","SimpleName: isZero [9587,9593]","Math/commit/47"
"ConditionalExpression:MethodInvocation","SimpleName: getReal [9468,9475]","SimpleName: INF [9602,9605]","Math/commit/47"
"MethodInvocation:PrefixExpression","SimpleName: iter [4247,4251]","SimpleName: incrementIterationCount [4223,4246]","Math/commit/6"
"MethodInvocation:PrefixExpression","SimpleName: iter [15156,15160]","SimpleName: incrementIterationCount [15132,15155]","Math/commit/6"
"MethodInvocation:PrefixExpression","SimpleName: iter [7794,7798]","SimpleName: incrementIterationCount [7770,7793]","Math/commit/6"
"InfixExpression:MethodInvocation","SimpleName: iteration [6443,6452]","SimpleName: getIterations [6443,6456]","Math/commit/6"
"MethodInvocation:PrefixExpression","SimpleName: iteration [7067,7076]","SimpleName: incrementIterationCount [7080,7103]","Math/commit/6"
"InfixExpression:MethodInvocation","SimpleName: iter [10670,10674]","SimpleName: getIterations [10678,10691]","Math/commit/6"
"MethodInvocation:PrefixExpression","SimpleName: iter [8355,8359]","SimpleName: incrementIterationCount [8331,8354]","Math/commit/6"
"MethodDeclaration:TryStatement","Block [4431,4550]","Block [4380,4643]","Math/commit/60"
"MethodInvocation:SimpleType","SimpleName: MathRuntimeException [3346,3366]","SimpleName: NotStrictlyPositiveException [3368,3396]","Math/commit/61"
"MethodInvocation:VariableDeclarationFragment","SimpleName: criterion [8401,8410]","SimpleName: getChiSquare [8411,8423]","Math/commit/65"
"InfixExpression:PrefixExpression","SimpleName: goalType [7595,7603]","SimpleName: isMinim [6833,6840]","Math/commit/66"
"ConditionalExpression:MethodInvocation","SimpleName: x [8727,8728]","SimpleName: isMinim [7950,7957]","Math/commit/66"
"MethodInvocation:PrefixExpression","SimpleName: count [8836,8841]","SimpleName: incrementIterationsCounter [8023,8049]","Math/commit/66"
"InfixExpression:PrefixExpression","SimpleName: goalType [4947,4955]","SimpleName: isMinim [4257,4264]","Math/commit/66"
"ArrayAccess:MethodInvocation","SimpleName: optimizer [3493,3502]","SimpleName: optimaValues [3493,3505]","Math/commit/67"
"ArrayAccess:MethodInvocation","SimpleName: optimizer [3602,3611]","SimpleName: optima [3589,3595]","Math/commit/67"
"EnhancedForStatement:MethodInvocation","SimpleName: currentEvent [13658,13670]","SimpleName: eventsStates [13688,13700]","Math/commit/7"
"Assignment:MethodInvocation","SimpleName: remaining [14226,14235]","SimpleName: needReset [14397,14406]","Math/commit/7"
"IfStatement:ReturnStatement","SimpleName: eventT [14315,14321]","SimpleName: needReset [14490,14499]","Math/commit/7"
"Assignment:InfixExpression","SimpleName: scale [9150,9155]","SimpleName: i [9190,9191]","Math/commit/74"
"ArrayAccess:InfixExpression","SimpleName: mainBidiagonal [9813,9827]","SimpleName: mi [9893,9895]","Math/commit/76"
"ArrayAccess:InfixExpression","SimpleName: p [9828,9829]","SimpleName: ei0 [9898,9901]","Math/commit/76"
"IfStatement:MethodDeclaration","Block [3900,3960]","Block [3941,4005]","Math/commit/89"
"CastExpression:MethodInvocation","SimpleName: doubleValue [8907,8918]","SimpleName: numerator [8913,8922]","Math/commit/91"
"CastExpression:MethodInvocation","SimpleName: object [8943,8949]","SimpleName: denominator [8973,8984]","Math/commit/91"
"InfixExpression:SimpleType","SimpleName: ArithmeticException [6166,6185]","SimpleName: d [7288,7289]","Math/commit/92"
"SimpleType:VariableDeclarationFragment","SimpleName: result [11775,11781]","SimpleName: IllegalArgumentException [11805,11829]","Math/commit/93"
"IfStatement:MethodDeclaration","Block [1431,1475]","Block [1658,1706]","Mockito/commit/11"
"InfixExpression:ReturnStatement","SimpleName: extraInterfaces [2169,2184]","SimpleName: serializable [2195,2207]","Mockito/commit/17"
"FieldAccess:MethodInvocation","SimpleName: extraInterfaces [696,711]","SimpleName: serializable [724,736]","Mockito/commit/17"
"MethodInvocation:SimpleType","SimpleName: clz [3247,3250]","SimpleName: Throwable [4430,4439]","Mockito/commit/25"
"MethodInvocation:SimpleType","SimpleName: MethodInterceptorFilter [2492,2515]","SimpleName: newMethodInterceptorFilter [2411,2437]","Mockito/commit/27"
"MethodInvocation:SimpleType","SimpleName: reportMatcher [14992,15005]","SimpleName: Map [15240,15243]","Mockito/commit/6"
"MethodInvocation:SimpleType","SimpleName: reportMatcher [13749,13762]","SimpleName: InstanceOf [14000,14010]","Mockito/commit/6"
"MethodInvocation:SimpleType","SimpleName: reportMatcher [16351,16364]","SimpleName: InstanceOf [16580,16590]","Mockito/commit/6"
"Initializer:MethodDeclaration","Block [2374,2418]","Block [2405,2450]","Time/commit/11"
"MethodDeclaration:MethodInvocation","SimpleName: set [2393,2396]","SimpleName: initialValue [2390,2402]","Time/commit/11"
"MethodInvocation:SimpleType","SimpleName: cVerbose [2384,2392]","SimpleName: Boolean [2382,2389]","Time/commit/11"
"ClassInstanceCreation:MethodInvocation","SimpleName: iDefaultYear [26885,26897]","SimpleName: instantLocal [26903,26915]","Time/commit/16"
"InfixExpression:MethodInvocation","SimpleName: convertLocalToUTC [46799,46816]","SimpleName: transition [46934,46944]","Time/commit/17"
"InfixExpression:MethodInvocation","SimpleName: local [46817,46822]","SimpleName: diff [47229,47233]","Time/commit/17"
"IfStatement:MethodDeclaration","Block [28532,28611]","Block [28779,28862]","Time/commit/3"
"IfStatement:MethodDeclaration","Block [29585,29668]","Block [29870,29957]","Time/commit/3"
"IfStatement:MethodDeclaration","Block [30652,30735]","Block [30975,31062]","Time/commit/3"
"IfStatement:MethodDeclaration","Block [31864,31945]","Block [32224,32309]","Time/commit/3"
"IfStatement:MethodDeclaration","Block [24391,24470]","Block [24454,24537]","Time/commit/3"
"IfStatement:MethodDeclaration","Block [25799,25880]","Block [25939,26024]","Time/commit/3"
"IfStatement:MethodDeclaration","Block [25082,25169]","Block [25185,25276]","Time/commit/3"
"IfStatement:MethodDeclaration","Block [26521,26600]","Block [26697,26780]","Time/commit/3"
"IfStatement:MethodDeclaration","Block [27848,27925]","Block [28059,28140]","Time/commit/3"
"Assignment:VariableDeclarationFragment","SimpleName: years [70804,70809]","SimpleName: totalMonths [70809,70820]","Time/commit/5"
"InfixExpression:MethodInvocation","SimpleName: months [70996,71002]","SimpleName: totalMonths [71258,71269]","Time/commit/5"
"Assignment:InfixExpression","SimpleName: months [70864,70870]","SimpleName: totalMonths [70970,70981]","Time/commit/5"
"InfixExpression:VariableDeclarationFragment","SimpleName: months [70838,70844]","SimpleName: normalizedYears [70931,70946]","Time/commit/5"
"InfixExpression:MethodInvocation","SimpleName: FieldUtils [10692,10702]","SimpleName: hoursOffset [10903,10914]","Time/commit/9"
