url,srcFileName,ignoredMappings,ignoredElements,RMD_TP_raw_abstractMapping,RMD_TP_abstractMapping,RMD_FP_abstractMapping,RMD_FN_abstractMapping,RMD_TP_raw_programElement,RMD_TP_programElement,RMD_FP_programElement,RMD_FN_programElement,GTG_TP_raw_abstractMapping,GTG_TP_abstractMapping,GTG_FP_abstractMapping,GTG_FN_abstractMapping,GTG_TP_raw_programElement,GTG_TP_programElement,GTG_FP_programElement,GTG_FN_programElement,GTS_TP_raw_abstractMapping,GTS_TP_abstractMapping,GTS_FP_abstractMapping,GTS_FN_abstractMapping,GTS_TP_raw_programElement,GTS_TP_programElement,GTS_FP_programElement,GTS_FN_programElement
Cli/13,src_java_org_apache_commons_cli2_commandline_WriteableCommandLineImpl,173,27,178,5,0,0,28,1,0,0,178,5,0,0,28,1,0,0,178,5,0,0,28,1,0,0
Cli/13,src_java_org_apache_commons_cli2_option_ArgumentImpl,211,37,254,43,0,1,39,2,0,0,252,41,0,3,39,2,0,0,255,44,0,0,39,2,0,0
Cli/14,src_java_org_apache_commons_cli2_option_GroupImpl,307,30,343,36,0,1,32,2,0,0,341,34,1,3,32,2,0,0,344,37,0,0,32,2,0,0
Cli/15,src_java_org_apache_commons_cli2_commandline_WriteableCommandLineImpl,200,30,224,24,0,0,32,2,0,0,217,17,4,7,32,2,0,0,220,20,2,4,32,2,0,0
Cli/16,src_java_org_apache_commons_cli2_Option,45,14,48,3,0,0,15,1,0,0,48,3,0,0,15,1,0,0,48,3,0,0,15,1,0,0
Cli/16,src_java_org_apache_commons_cli2_commandline_WriteableCommandLineImpl,213,30,228,15,0,0,32,2,0,0,225,12,0,3,32,2,0,0,228,15,0,0,32,2,0,0
Cli/16,src_java_org_apache_commons_cli2_option_GroupImpl,306,30,344,38,0,0,32,2,0,0,341,35,0,3,32,2,0,0,344,38,0,0,32,2,0,0
Cli/16,src_java_org_apache_commons_cli2_option_OptionImpl,119,14,124,5,0,0,15,1,0,0,124,5,0,0,15,1,0,0,124,5,0,0,15,1,0,0
Cli/17,src_java_org_apache_commons_cli_PosixParser,97,10,124,27,0,0,12,2,0,0,124,27,0,0,12,2,0,0,124,27,0,0,12,2,0,0
Cli/18,src_java_org_apache_commons_cli_PosixParser,59,8,118,59,0,0,11,3,0,0,116,57,3,2,11,3,0,0,115,56,5,3,11,3,0,0
Cli/19,src_java_org_apache_commons_cli_PosixParser,100,9,118,18,0,0,11,2,0,0,117,17,0,1,11,2,0,0,117,17,0,1,11,2,0,0
Cli/2,src_java_org_apache_commons_cli_PosixParser,98,10,126,28,0,0,12,2,0,0,126,28,1,0,12,2,0,0,124,26,1,2,12,2,0,0
Cli/20,src_java_org_apache_commons_cli_PosixParser,72,9,114,42,5,8,11,2,0,0,114,42,17,8,11,2,0,0,113,41,6,9,11,2,0,0
Cli/21,src_java_org_apache_commons_cli2_WriteableCommandLine,35,9,39,4,0,0,10,1,0,0,39,4,0,0,10,1,0,0,39,4,0,0,10,1,0,0
Cli/21,src_java_org_apache_commons_cli2_commandline_WriteableCommandLineImpl,209,29,233,24,0,0,32,3,0,0,228,19,2,5,32,3,0,0,231,22,2,2,32,3,0,0
Cli/21,src_java_org_apache_commons_cli2_option_GroupImpl,341,31,353,12,0,0,33,2,0,0,349,8,1,4,33,2,0,0,352,11,1,1,33,2,0,0
Cli/22,src_java_org_apache_commons_cli_PosixParser,16,5,103,87,0,2,10,5,0,0,100,84,7,5,10,5,0,0,98,82,8,7,10,5,0,0
Cli/23,src_java_org_apache_commons_cli_HelpFormatter,431,55,460,29,0,2,57,2,0,0,459,28,2,3,57,2,0,0,458,27,0,4,57,2,0,0
Cli/24,src_java_org_apache_commons_cli_HelpFormatter,431,55,463,32,0,0,57,2,0,0,460,29,3,3,57,2,0,0,463,32,0,0,57,2,0,0
Cli/25,src_java_org_apache_commons_cli_HelpFormatter,431,55,465,34,0,0,57,2,0,0,462,31,0,3,57,2,0,0,464,33,0,1,57,2,0,0
Cli/26,src_java_org_apache_commons_cli_OptionBuilder,152,28,175,23,0,0,30,2,0,0,173,21,2,2,30,2,0,0,174,22,0,1,30,2,0,0
Cli/27,src_java_org_apache_commons_cli_OptionGroup,57,11,78,21,0,0,13,2,0,0,78,21,0,0,13,2,0,0,78,21,0,0,13,2,0,0
Cli/28,src_java_org_apache_commons_cli_Parser,170,14,201,31,0,0,16,2,0,0,197,27,0,4,16,2,0,0,201,31,0,0,16,2,0,0
Cli/29,src_java_org_apache_commons_cli_Util,15,1,30,15,0,0,3,2,0,0,30,15,3,0,3,2,0,0,30,15,1,0,3,2,0,0
Cli/3,src_java_org_apache_commons_cli_TypeHandler,117,8,137,20,0,0,10,2,0,0,133,16,1,4,10,2,0,0,133,16,1,4,10,2,0,0
Cli/30,src_main_java_org_apache_commons_cli_DefaultParser,339,29,370,31,0,0,31,2,0,0,367,28,0,3,31,2,0,0,370,31,0,0,31,2,0,0
Cli/30,src_main_java_org_apache_commons_cli_Parser,177,15,212,35,0,0,17,2,0,0,207,30,6,5,17,2,0,0,212,35,0,0,17,2,0,0
Cli/31,src_main_java_org_apache_commons_cli_HelpFormatter,452,59,480,28,0,0,61,2,0,0,477,25,0,3,61,2,0,0,478,26,0,2,61,2,0,0
Cli/31,src_main_java_org_apache_commons_cli_Option,315,56,320,5,0,0,58,2,0,0,317,2,0,3,58,2,0,0,320,5,0,0,58,2,0,0
Cli/31,src_main_java_org_apache_commons_cli_OptionBuilder,160,28,179,19,0,0,30,2,0,0,179,19,0,0,30,2,0,0,178,18,0,1,30,2,0,0
Cli/32,src_main_java_org_apache_commons_cli_HelpFormatter,445,59,472,27,0,0,61,2,0,0,469,24,0,3,61,2,0,0,472,27,0,0,61,2,0,0
Cli/33,src_main_java_org_apache_commons_cli_HelpFormatter,458,59,473,15,0,0,61,2,0,0,470,12,0,3,61,2,0,0,473,15,0,0,61,2,0,0
Cli/34,src_main_java_org_apache_commons_cli_Option,315,56,320,5,0,0,58,2,0,0,317,2,0,3,58,2,0,0,320,5,0,0,58,2,0,0
Cli/34,src_main_java_org_apache_commons_cli_OptionBuilder,160,28,179,19,0,0,30,2,0,0,179,19,0,0,30,2,0,0,178,18,0,1,30,2,0,0
Cli/35,src_main_java_org_apache_commons_cli_Options,125,20,142,17,0,0,22,2,0,0,142,17,0,0,22,2,0,0,142,17,0,0,22,2,0,0
Cli/36,src_main_java_org_apache_commons_cli_OptionGroup,75,11,81,6,0,0,13,2,0,0,80,5,0,1,13,2,0,0,80,5,0,1,13,2,0,0
Cli/36,src_main_java_org_apache_commons_cli_Options,141,20,146,5,0,0,22,2,0,0,146,5,0,0,22,2,0,0,146,5,0,0,22,2,0,0
Cli/37,src_main_java_org_apache_commons_cli_DefaultParser,363,29,375,12,1,5,31,2,0,0,370,7,2,10,30,1,0,1,378,15,3,2,31,2,0,0
Cli/38,src_main_java_org_apache_commons_cli_DefaultParser,363,29,377,14,3,2,31,2,0,0,375,12,1,4,31,2,0,0,378,15,1,1,31,2,0,0
Cli/39,src_main_java_org_apache_commons_cli_TypeHandler,87,8,128,41,0,0,10,2,0,0,128,41,0,0,10,2,0,0,128,41,0,0,10,2,0,0
Cli/4,src_java_org_apache_commons_cli_Parser,168,11,186,18,0,0,13,2,0,0,182,14,0,4,13,2,0,0,186,18,0,0,13,2,0,0
Cli/40,src_main_java_org_apache_commons_cli_TypeHandler,99,9,140,41,0,0,11,2,0,0,140,41,0,0,11,2,0,0,139,40,0,1,11,2,0,0
Cli/5,src_java_org_apache_commons_cli_Util,12,1,26,14,0,0,3,2,0,0,26,14,0,0,3,2,0,0,26,14,0,0,3,2,0,0
Cli/7,src_java_org_apache_commons_cli2_builder_PatternBuilder,129,10,134,5,0,0,12,2,0,0,133,4,0,1,12,2,0,0,132,3,1,2,11,1,0,1
Cli/8,src_java_org_apache_commons_cli_HelpFormatter,418,52,445,27,0,0,54,2,0,0,442,24,0,3,54,2,0,0,444,26,0,1,54,2,0,0
Cli/9,src_java_org_apache_commons_cli_Parser,184,14,205,21,0,0,16,2,0,0,201,17,0,4,16,2,0,0,205,21,0,0,16,2,0,0
Closure/1,src_com_google_javascript_jscomp_RemoveUnusedVars,562,57,592,30,0,0,59,2,0,0,590,28,0,2,59,2,0,0,592,30,0,0,59,2,0,0
Closure/10,src_com_google_javascript_jscomp_NodeUtil,2507,190,2523,16,0,0,192,2,0,0,2519,12,0,4,192,2,0,0,2523,16,0,0,192,2,0,0
Closure/100,src_com_google_javascript_jscomp_CheckGlobalThis,39,7,86,47,0,0,10,3,0,0,85,46,1,1,10,3,0,0,85,46,1,1,10,3,0,0
Closure/101,src_com_google_javascript_jscomp_CommandLineRunner,153,50,175,22,0,2,52,2,0,0,173,20,0,4,52,2,0,0,175,22,0,2,52,2,0,0
Closure/102,src_com_google_javascript_jscomp_Normalize,365,35,384,19,0,0,37,2,0,0,382,17,0,2,37,2,0,0,384,19,0,0,37,2,0,0
Closure/103,src_com_google_javascript_jscomp_ControlFlowAnalysis,708,54,737,29,0,0,56,2,0,0,734,26,0,3,56,2,0,0,737,29,0,0,56,2,0,0
Closure/103,src_com_google_javascript_jscomp_DisambiguateProperties,769,94,801,32,0,0,97,3,0,0,799,30,0,2,97,3,0,0,801,32,0,0,97,3,0,0
Closure/104,src_com_google_javascript_rhino_jstype_UnionType,350,31,384,34,0,0,33,2,0,0,381,31,0,3,33,2,0,0,383,33,0,1,33,2,0,0
Closure/105,src_com_google_javascript_jscomp_FoldConstants,1430,57,1511,81,0,6,59,2,0,0,1515,85,0,2,59,2,0,0,1513,83,1,4,59,2,0,0
Closure/106,src_com_google_javascript_jscomp_GlobalNamespace,699,84,714,15,0,0,87,3,0,0,712,13,0,2,87,3,0,0,714,15,0,0,87,3,0,0
Closure/106,src_com_google_javascript_rhino_JSDocInfoBuilder,522,54,533,11,0,0,56,2,0,0,528,6,1,5,56,2,0,0,532,10,1,1,56,2,0,0
Closure/107,src_com_google_javascript_jscomp_CommandLineRunner,359,101,404,45,0,0,103,2,0,0,401,42,0,3,103,2,0,0,404,45,0,0,103,2,0,0
Closure/108,src_com_google_javascript_jscomp_ScopedAliases,283,50,415,132,0,0,55,5,0,0,410,127,0,5,55,5,0,0,415,132,0,0,55,5,0,0
Closure/109,src_com_google_javascript_jscomp_parsing_JsDocInfoParser,1798,101,1807,9,0,2,103,2,0,0,1804,6,1,5,103,2,0,0,1808,10,1,1,103,2,0,0
Closure/11,src_com_google_javascript_jscomp_TypeCheck,1111,87,1133,22,0,0,89,2,0,0,1129,18,2,4,89,2,0,0,1132,21,2,1,89,2,0,0
Closure/110,src_com_google_javascript_jscomp_ScopedAliases,351,52,397,46,0,0,55,3,0,0,392,41,5,5,55,3,0,0,395,44,2,2,55,3,0,0
Closure/110,src_com_google_javascript_rhino_Node,2225,315,2246,21,0,0,317,2,0,0,2243,18,0,3,317,2,0,0,2246,21,0,0,317,2,0,0
Closure/111,src_com_google_javascript_jscomp_type_ClosureReverseAbstractInterpreter,198,28,210,12,0,0,31,3,0,0,209,11,1,1,31,3,0,0,209,11,0,1,31,3,0,0
Closure/112,src_com_google_javascript_jscomp_TypeInference,1124,73,1145,21,0,0,75,2,0,0,1143,19,0,2,75,2,0,0,1145,21,0,0,75,2,0,0
Closure/113,src_com_google_javascript_jscomp_ProcessClosurePrimitives,787,82,821,34,0,0,84,2,0,0,819,32,0,2,84,2,0,0,821,34,0,0,84,2,0,0
Closure/114,src_com_google_javascript_jscomp_NameAnalyzer,1234,125,1263,29,0,0,128,3,0,0,1260,26,0,3,128,3,0,0,1263,29,0,0,128,3,0,0
Closure/115,src_com_google_javascript_jscomp_FunctionInjector,476,44,517,41,0,0,46,2,0,0,515,39,0,2,46,2,0,0,517,41,0,0,46,2,0,0
Closure/116,src_com_google_javascript_jscomp_FunctionInjector,476,44,517,41,0,0,46,2,0,0,515,39,0,2,46,2,0,0,517,41,0,0,46,2,0,0
Closure/117,src_com_google_javascript_jscomp_TypeValidator,471,58,513,42,0,0,60,2,0,0,511,40,0,2,60,2,0,0,513,42,0,0,60,2,0,0
Closure/118,src_com_google_javascript_jscomp_DisambiguateProperties,881,100,903,22,0,0,103,3,0,0,901,20,0,2,103,3,0,0,903,22,0,0,103,3,0,0
Closure/119,src_com_google_javascript_jscomp_GlobalNamespace,863,124,983,120,2,2,127,3,0,0,980,117,0,5,127,3,0,0,985,122,0,0,127,3,0,0
Closure/12,src_com_google_javascript_jscomp_MaybeReachingVariableUse,182,19,190,8,0,0,21,2,0,0,190,8,0,0,21,2,0,0,186,4,0,4,20,1,0,1
Closure/120,src_com_google_javascript_jscomp_ReferenceCollectingCallback,469,77,492,23,0,0,80,3,0,0,490,21,0,2,80,3,0,0,492,23,0,0,80,3,0,0
Closure/121,src_com_google_javascript_jscomp_InlineVariables,410,39,472,62,0,0,42,3,0,0,467,57,0,5,42,3,0,0,472,62,0,0,42,3,0,0
Closure/122,src_com_google_javascript_jscomp_parsing_IRFactory,1231,109,1243,12,2,0,111,2,0,0,1240,9,3,3,111,2,0,0,1243,12,2,0,111,2,0,0
Closure/123,src_com_google_javascript_jscomp_CodeGenerator,513,43,1017,504,0,1,45,2,0,0,975,462,0,43,45,2,0,0,1017,504,1,1,45,2,0,0
Closure/124,src_com_google_javascript_jscomp_ExploitAssigns,127,5,145,18,0,0,7,2,0,0,145,18,0,0,7,2,0,0,145,18,0,0,7,2,0,0
Closure/125,src_com_google_javascript_jscomp_TypeCheck,1260,97,1286,26,0,0,99,2,0,0,1283,23,0,3,99,2,0,0,1286,26,0,0,99,2,0,0
Closure/126,src_com_google_javascript_jscomp_MinimizeExitPoints,116,7,181,65,0,0,9,2,0,0,181,65,0,0,9,2,0,0,181,65,0,0,9,2,0,0
Closure/127,src_com_google_javascript_jscomp_UnreachableCodeElimination,111,13,148,37,0,0,16,3,0,0,148,37,0,0,16,3,0,0,148,37,0,0,16,3,0,0
Closure/128,src_com_google_javascript_jscomp_CodeGenerator,991,42,1009,18,0,0,44,2,0,0,1007,16,0,2,44,2,0,0,1009,18,0,0,44,2,0,0
Closure/129,src_com_google_javascript_jscomp_PrepareAst,127,14,147,20,0,0,17,3,0,0,147,20,0,0,17,3,0,0,147,20,0,0,17,3,0,0
Closure/13,src_com_google_javascript_jscomp_PeepholeOptimizationsPass,139,26,163,24,0,0,28,2,0,0,163,24,0,0,28,2,0,0,163,24,0,0,28,2,0,0
Closure/130,src_com_google_javascript_jscomp_CollapseProperties,514,31,543,29,0,0,33,2,0,0,541,27,0,2,33,2,0,0,543,29,0,0,33,2,0,0
Closure/131,src_com_google_javascript_rhino_TokenStream,326,1,347,21,0,0,3,2,0,0,344,18,1,3,3,2,0,0,347,21,0,0,3,2,0,0
Closure/132,src_com_google_javascript_jscomp_PeepholeSubstituteAlternateSyntax,1024,61,1170,146,0,0,63,2,0,0,1166,142,0,4,63,2,0,0,1170,146,0,0,63,2,0,0
Closure/133,src_com_google_javascript_jscomp_parsing_JsDocInfoParser,1691,91,1701,10,0,0,93,2,0,0,1697,6,0,4,93,2,0,0,1701,10,0,0,93,2,0,0
Closure/134,src_com_google_javascript_jscomp_AmbiguateProperties,354,61,435,81,0,0,68,7,0,0,432,78,10,3,68,7,0,0,433,79,6,2,68,7,0,0
Closure/134,src_com_google_javascript_jscomp_TypedScopeCreator,798,56,818,20,0,0,59,3,0,0,808,10,3,10,59,3,0,0,814,16,4,4,59,3,0,0
Closure/135,src_com_google_javascript_jscomp_DevirtualizePrototypeMethods,173,11,193,20,0,0,13,2,0,0,191,18,0,2,13,2,0,0,193,20,0,0,13,2,0,0
Closure/135,src_com_google_javascript_rhino_jstype_FunctionType,569,59,590,21,0,0,61,2,0,0,587,18,0,3,61,2,0,0,590,21,0,0,61,2,0,0
Closure/136,src_com_google_javascript_jscomp_MethodCompilerPass,146,19,162,16,0,0,21,2,0,0,161,15,1,1,21,2,0,0,161,15,2,1,21,2,0,0
Closure/136,src_com_google_javascript_jscomp_RenameVars,219,42,270,51,0,0,45,3,0,0,267,48,0,3,45,3,0,0,267,48,1,3,45,3,0,0
Closure/137,src_com_google_javascript_jscomp_MakeDeclaredNamesUnique,251,39,322,71,4,4,51,12,0,0,306,55,27,20,49,10,0,2,307,56,54,19,49,10,2,2
Closure/137,src_com_google_javascript_jscomp_NodeUtil,1491,120,1495,4,0,0,121,1,0,0,1491,0,0,4,121,1,0,0,1495,4,0,0,121,1,0,0
Closure/137,src_com_google_javascript_jscomp_Normalize,384,40,402,18,0,0,42,2,0,0,400,16,0,2,42,2,0,0,402,18,0,0,42,2,0,0
Closure/138,src_com_google_javascript_jscomp_ClosureReverseAbstractInterpreter,165,28,192,27,0,0,30,2,0,0,187,22,7,5,30,2,0,0,187,22,7,5,30,2,0,0
Closure/138,src_com_google_javascript_jscomp_TypeInference,842,57,871,29,3,0,59,2,0,0,869,27,0,2,59,2,0,0,871,29,0,0,59,2,0,0
Closure/139,src_com_google_javascript_jscomp_Normalize,346,32,410,64,0,0,43,11,0,0,408,62,0,2,43,11,0,0,410,64,0,0,43,11,0,0
Closure/14,src_com_google_javascript_jscomp_ControlFlowAnalysis,707,58,784,77,0,0,60,2,0,0,781,74,0,3,60,2,0,0,784,77,0,0,60,2,0,0
Closure/140,src_com_google_javascript_jscomp_Compiler,1193,182,1233,40,0,0,186,4,0,0,1230,37,1,3,186,4,0,0,1233,40,1,0,186,4,0,0
Closure/141,src_com_google_javascript_jscomp_NodeUtil,1478,120,1503,25,0,0,122,2,0,0,1499,21,0,4,122,2,0,0,1503,25,0,0,122,2,0,0
Closure/141,src_com_google_javascript_jscomp_PureFunctionIdentifier,416,49,444,28,0,2,51,2,0,0,442,26,2,4,51,2,0,0,444,28,2,2,51,2,0,0
Closure/142,src_com_google_javascript_jscomp_CoalesceVariableNames,291,34,313,22,0,0,36,2,0,0,311,20,0,2,36,2,0,0,313,22,0,0,36,2,0,0
Closure/142,src_com_google_javascript_jscomp_parsing_JsDocInfoParser,1337,76,1408,71,0,0,78,2,0,0,1404,67,0,4,78,2,0,0,1408,71,0,0,78,2,0,0
Closure/143,src_com_google_javascript_jscomp_AbstractCommandLineRunner,765,101,810,45,0,0,103,2,0,0,807,42,0,3,103,2,0,0,810,45,0,0,103,2,0,0
Closure/143,src_com_google_javascript_jscomp_RemoveConstantExpressions,61,13,83,22,0,0,16,3,0,0,83,22,0,0,16,3,0,0,83,22,0,0,16,3,0,0
Closure/144,src_com_google_javascript_jscomp_FunctionTypeBuilder,277,42,318,41,0,0,45,3,0,0,315,38,2,3,45,3,0,0,318,41,2,0,45,3,0,0
Closure/144,src_com_google_javascript_jscomp_TypedScopeCreator,847,70,918,71,0,0,73,3,0,0,909,62,4,9,73,3,0,0,916,69,4,2,73,3,0,0
Closure/144,src_com_google_javascript_rhino_jstype_FunctionBuilder,92,23,96,4,0,0,24,1,0,0,96,4,0,0,24,1,0,0,96,4,0,0,24,1,0,0
Closure/144,src_com_google_javascript_rhino_jstype_FunctionType,625,64,635,10,0,0,66,2,0,0,632,7,0,3,66,2,0,0,635,10,0,0,66,2,0,0
Closure/145,src_com_google_javascript_jscomp_CodeGenerator,805,33,813,8,0,0,35,2,0,0,807,2,1,6,34,1,0,1,812,7,1,1,35,2,0,0
Closure/146,src_com_google_javascript_rhino_jstype_JSType,581,96,602,21,0,0,98,2,0,0,598,17,0,4,98,2,0,0,602,21,0,0,98,2,0,0
Closure/147,src_com_google_javascript_jscomp_CheckGlobalThis,49,8,91,42,0,0,10,2,0,0,91,42,0,0,10,2,0,0,91,42,0,0,10,2,0,0
Closure/147,src_com_google_javascript_jscomp_RuntimeTypeCheck,233,23,270,37,0,0,28,5,0,0,268,35,0,2,28,5,0,0,270,37,0,0,28,5,0,0
Closure/148,src_com_google_javascript_jscomp_PeepholeFoldConstants,834,26,877,43,0,0,28,2,0,0,874,40,0,3,28,2,0,0,877,43,0,0,28,2,0,0
Closure/148,src_com_google_javascript_jscomp_SourceMap,63,23,261,198,5,9,39,16,0,0,214,151,40,56,32,9,3,7,218,155,30,52,35,12,3,4
Closure/149,src_com_google_javascript_jscomp_AbstractCommandLineRunner,870,114,946,76,0,0,118,4,0,0,943,73,0,3,118,4,0,0,946,76,0,0,118,4,0,0
Closure/149,src_com_google_javascript_jscomp_CommandLineRunner,167,56,189,22,0,0,58,2,0,0,186,19,0,3,58,2,0,0,189,22,0,0,58,2,0,0
Closure/149,src_com_google_javascript_jscomp_Compiler,1340,195,1357,17,0,2,197,2,0,0,1355,15,1,4,197,2,0,0,1357,17,1,2,197,2,0,0
Closure/149,src_com_google_javascript_jscomp_CompilerOptions,342,178,348,6,0,0,180,2,0,0,345,3,0,3,180,2,0,0,348,6,0,0,180,2,0,0
Closure/15,src_com_google_javascript_jscomp_FlowSensitiveInlineVariables,282,31,308,26,0,0,34,3,0,0,306,24,0,2,34,3,0,0,308,26,0,0,34,3,0,0
Closure/150,src_com_google_javascript_jscomp_TypedScopeCreator,958,79,981,23,0,0,82,3,0,0,978,20,4,3,82,3,0,0,981,23,1,0,82,3,0,0
Closure/151,src_com_google_javascript_jscomp_CommandLineRunner,144,55,189,45,0,0,58,3,0,0,186,42,0,3,58,3,0,0,189,45,0,0,58,3,0,0
Closure/152,src_com_google_javascript_rhino_jstype_FunctionType,630,64,661,31,0,0,66,2,0,0,657,27,1,4,66,2,0,0,660,30,1,1,66,2,0,0
Closure/154,src_com_google_javascript_jscomp_TypeCheck,1029,82,1084,55,0,0,85,3,0,0,1081,52,2,3,84,2,0,1,1084,55,2,0,84,2,0,1
Closure/154,src_com_google_javascript_jscomp_TypeValidator,463,52,482,19,0,0,55,3,0,0,480,17,2,2,54,2,0,1,482,19,0,0,55,3,0,0
