"ParentTypesPair","First","Second","URL","FileName"
"SingleVariableDeclaration:VariableDeclarationStatement","ParameterizedType: List<CourseInfo> [5463,5479]","ParameterizedType: List<CourseInfo> [5870,5886]","https://github.com/JetBrains/intellij-community/commit/7ed3f273ab0caf0337c22f0b721d51829bb0c877","python/educational/src/com/jetbrains/edu/stepic/EduStepicConnector.java"
"MethodDeclaration:VariableDeclarationStatement","SimpleType: IOException [38030,38041]","SimpleType: VirtualFile [38090,38101]","https://github.com/JetBrains/intellij-community/commit/8d7a26edd1fedb9505b4f2b4fe57b2d2958b4dd9","platform/vcs-impl/src/com/intellij/openapi/vcs/history/FileHistoryPanelImpl.java"
"MethodDeclaration:SingleVariableDeclaration","SimpleType: PsiElement [11025,11035]","SimpleType: PsiElement [10997,11007]","https://github.com/JetBrains/intellij-community/commit/a97341973c3b683d62d1422e5404ed5c7ccf45f8","plugins/javaFX/src/org/jetbrains/plugins/javaFX/fxml/refs/FxmlReferencesContributor.java"
"MethodDeclaration:SingleVariableDeclaration","SimpleType: PsiElement [10991,11001]","SimpleType: PsiElement [11031,11041]","https://github.com/JetBrains/intellij-community/commit/a97341973c3b683d62d1422e5404ed5c7ccf45f8","plugins/javaFX/src/org/jetbrains/plugins/javaFX/fxml/refs/FxmlReferencesContributor.java"
"ParameterizedType:VariableDeclarationStatement","SimpleType: String [16098,16104]","SimpleType: String [16233,16239]","https://github.com/JetBrains/intellij-community/commit/e1625136ba12907696ef4c6e922ce073293f3a2c","plugins/maven/src/main/java/org/jetbrains/idea/maven/project/MavenProject.java"
"ParameterizedType:SingleVariableDeclaration","SimpleType: LinkedHashMap [16076,16089]","SimpleType: Element [16121,16128]","https://github.com/JetBrains/intellij-community/commit/e1625136ba12907696ef4c6e922ce073293f3a2c","plugins/maven/src/main/java/org/jetbrains/idea/maven/project/MavenProject.java"
"MethodDeclaration:SingleVariableDeclaration","PrimitiveType: boolean [5943,5950]","PrimitiveType: boolean [6114,6121]","https://github.com/JetBrains/intellij-community/commit/e1f0dbc2f09541fc64ce88ee22d8f8f4648004fe","plugins/maven/src/main/java/org/jetbrains/idea/maven/utils/library/RepositoryAttachHandler.java"
"ClassInstanceCreation:VariableDeclarationStatement","SimpleType: File [2294,2298]","SimpleType: String [2276,2282]","https://github.com/JoanZapata/android-iconify/commit/eb500cca282e39d01a9882e1d0a83186da6d1a26","android-iconify/src/main/java/com/joanzapata/android/iconify/Utils.java"
"ClassInstanceCreation:VariableDeclarationStatement","SimpleType: File [2275,2279]","SimpleType: File [2505,2509]","https://github.com/JoanZapata/android-iconify/commit/eb500cca282e39d01a9882e1d0a83186da6d1a26","android-iconify/src/main/java/com/joanzapata/android/iconify/Utils.java"
"MethodDeclaration:VariableDeclarationStatement","SimpleType: Exception [1477,1486]","SimpleType: VoltDB.Configuration [1501,1521]","https://github.com/VoltDB/voltdb/commit/c1359c843bd03a694f846c8140e24ed646bbb913","tests/frontend/org/voltdb/TestAdhocCreateDropIndex.java"
"ClassInstanceCreation:VariableDeclarationStatement","SimpleType: String [1501,1507]","SimpleType: VoltDB.Configuration [1535,1555]","https://github.com/VoltDB/voltdb/commit/c1359c843bd03a694f846c8140e24ed646bbb913","tests/frontend/org/voltdb/TestAdhocCreateDropIndex.java"
"SingleVariableDeclaration:VariableDeclarationStatement","PrimitiveType: int [3414,3417]","PrimitiveType: int [3716,3719]","https://github.com/VoltDB/voltdb/commit/c9b2006381301c99b66c50c4b31f329caac06137","src/frontend/org/voltdb/utils/PBDMMapSegment.java"
"MethodDeclaration:VariableDeclarationStatement","PrimitiveType: long [20142,20146]","PrimitiveType: long [24662,24666]","https://github.com/VoltDB/voltdb/commit/cfc54e8afa7ee7d5376525a84559e90b21487ccf","src/frontend/org/voltdb/importclient/kafka/KafkaStreamImporter.java"
"SingleVariableDeclaration:VariableDeclarationStatement","PrimitiveType: long [20161,20165]","PrimitiveType: long [24493,24497]","https://github.com/VoltDB/voltdb/commit/cfc54e8afa7ee7d5376525a84559e90b21487ccf","src/frontend/org/voltdb/importclient/kafka/KafkaStreamImporter.java"
"MethodDeclaration:VariableDeclarationStatement","SimpleType: SimpleConsumer [21374,21388]","SimpleType: OffsetFetchResponse [22735,22754]","https://github.com/VoltDB/voltdb/commit/cfc54e8afa7ee7d5376525a84559e90b21487ccf","src/frontend/org/voltdb/importclient/kafka/KafkaStreamImporter.java"
"ClassInstanceCreation:VariableDeclarationStatement","SimpleType: SimpleConsumer [21431,21445]","SimpleType: OffsetFetchRequest [22835,22853]","https://github.com/VoltDB/voltdb/commit/cfc54e8afa7ee7d5376525a84559e90b21487ccf","src/frontend/org/voltdb/importclient/kafka/KafkaStreamImporter.java"
"ArrayType:MethodDeclaration","PrimitiveType: long [22045,22049]","PrimitiveType: long [24209,24213]","https://github.com/VoltDB/voltdb/commit/cfc54e8afa7ee7d5376525a84559e90b21487ccf","src/frontend/org/voltdb/importclient/kafka/KafkaStreamImporter.java"
"ClassInstanceCreation:VariableDeclarationStatement","SimpleType: SimpleConsumer [15255,15269]","SimpleType: KafkaStreamImporterException [20453,20481]","https://github.com/VoltDB/voltdb/commit/cfc54e8afa7ee7d5376525a84559e90b21487ccf","src/frontend/org/voltdb/importclient/kafka/KafkaStreamImporter.java"
"ParameterizedType:VariableDeclarationStatement","SimpleType: TopicAndPartition [20441,20458]","SimpleType: OffsetResponse [21838,21852]","https://github.com/VoltDB/voltdb/commit/cfc54e8afa7ee7d5376525a84559e90b21487ccf","src/frontend/org/voltdb/importclient/kafka/KafkaStreamImporter.java"
"ClassInstanceCreation:ParameterizedType","SimpleType: Map [20364,20367]","SimpleType: kafka.javaapi.OffsetRequest [21641,21668]","https://github.com/VoltDB/voltdb/commit/cfc54e8afa7ee7d5376525a84559e90b21487ccf","src/frontend/org/voltdb/importclient/kafka/KafkaStreamImporter.java"
"SingleVariableDeclaration:VariableDeclarationStatement","SimpleType: String [1906,1912]","SimpleType: MPDStatus [1517,1526]","https://github.com/abarisain/dmix/commit/885771d57c97bd2dd48951e8aeaaa87ceb87532b","MPDroid/src/main/java/com/namelessdev/mpdroid/widgets/WidgetHelperService.java"
"ClassInstanceCreation:SingleVariableDeclaration","SimpleType: ClassNotFoundException [8482,8504]","SimpleType: ImmutableMapSerializer [8554,8576]","https://github.com/apache/giraph/commit/add1d4f07c925b8a9044cb3aa5bb4abdeaf49fc7","giraph-core/src/main/java/org/apache/giraph/writable/kryo/HadoopKryo.java"
"ClassInstanceCreation:VariableDeclarationStatement","SimpleType: Context [37112,37119]","SimpleType: Context [37503,37510]","https://github.com/apache/hive/commit/5f78f9ef1e6c798849d34cc66721e6c1d9709b6f","ql/src/java/org/apache/hadoop/hive/ql/io/orc/OrcInputFormat.java"
"ClassInstanceCreation:MethodDeclaration","SimpleType: Context [37134,37141]","SimpleType: IOException [37409,37420]","https://github.com/apache/hive/commit/5f78f9ef1e6c798849d34cc66721e6c1d9709b6f","ql/src/java/org/apache/hadoop/hive/ql/io/orc/OrcInputFormat.java"
"MethodDeclaration:ParameterizedType","SimpleType: IOException [37040,37051]","SimpleType: List [37327,37331]","https://github.com/apache/hive/commit/5f78f9ef1e6c798849d34cc66721e6c1d9709b6f","ql/src/java/org/apache/hadoop/hive/ql/io/orc/OrcInputFormat.java"
"ParameterizedType:SingleVariableDeclaration","SimpleType: RelMetadataProvider [43130,43149]","SimpleType: RelMetadataProvider [43145,43164]","https://github.com/apache/hive/commit/999e0e3616525d77cf46c5865f9981b5a6b5609a","ql/src/java/org/apache/hadoop/hive/ql/parse/CalcitePlanner.java"
"ParameterizedType:SingleVariableDeclaration","SimpleType: RelMetadataProvider [43705,43724]","SimpleType: RelMetadataProvider [42554,42573]","https://github.com/apache/hive/commit/999e0e3616525d77cf46c5865f9981b5a6b5609a","ql/src/java/org/apache/hadoop/hive/ql/parse/CalcitePlanner.java"
"ClassInstanceCreation:ParameterizedType","ParameterizedType: Map.Entry<String,String> [11010,11035]","ParameterizedType: ArrayList<> [11850,11861]","https://github.com/apache/hive/commit/f664789737d516ac664462732664121acc111a1e","hcatalog/webhcat/svr/src/main/java/org/apache/hive/hcatalog/templeton/AppConfig.java"
"ArrayType:SingleVariableDeclaration","SimpleType: FileStatus [24962,24972]","SimpleType: FileStatus [24962,24972]","https://github.com/apache/pig/commit/92dce401344a28ff966ad4cf3dd969a676852315","src/org/apache/pig/impl/util/Utils.java"
"ParameterizedType:TypeDeclaration","SimpleType: OptionalAssert [3491,3505]","SimpleType: StrictAssertions [1928,1944]","https://github.com/assertj/assertj/commit/b36ab386559d04db114db8edd87c8d4cbf850c12","src/main/java/org/assertj/core/api/Assertions.java"
"CastExpression:VariableDeclarationStatement","SimpleType: String [1951,1957]","SimpleType: IpAddress [2088,2097]","https://github.com/belaban/JGroups/commit/f1533756133dec84ce8218202585ac85904da7c9","src/org/jgroups/auth/FixedMembershipToken.java"
"SingleVariableDeclaration:VariableDeclarationStatement","SimpleType: String [2010,2016]","SimpleType: IpAddress [2285,2294]","https://github.com/belaban/JGroups/commit/f1533756133dec84ce8218202585ac85904da7c9","src/org/jgroups/auth/FixedMembershipToken.java"
"ClassInstanceCreation:VariableDeclarationStatement","SimpleType: KeyPair [2645,2652]","SimpleType: PEMKeyPair [2773,2783]","https://github.com/crashub/crash/commit/2801269c7e47bd6e243612654a74cee809d20959","connectors/ssh/src/main/java/org/crsh/auth/FilePublicKeyProvider.java"
"SingleVariableDeclaration:VariableDeclarationStatement","SimpleType: String [23518,23524]","SimpleType: String [24165,24171]","https://github.com/eclipse/jetty.project/commit/837d1a74bb7d694220644a2539c4440ce55462cf","jetty-proxy/src/test/java/org/eclipse/jetty/proxy/ProxyServletTest.java"
"MethodDeclaration:VariableDeclarationStatement","SimpleType: String [7646,7652]","SimpleType: Prebuilt [7118,7126]","https://github.com/facebook/buck/commit/7e104c3ed4b80ec8e9b72356396f879d1067cc40","src/com/facebook/buck/maven/Resolver.java"
"MethodInvocation:ParameterizedType","SimpleType: BuildRule [17860,17869]","SimpleType: BuildRule [16355,16364]","https://github.com/facebook/buck/commit/ecd0ad5ab99b8d14f28881cf4f49ec01f2221776","src/com/facebook/buck/cxx/CxxSourceRuleFactory.java"
"ParameterizedType:SingleVariableDeclaration","SimpleType: PicType [17485,17492]","SimpleType: ImmutableCollection [16145,16164]","https://github.com/facebook/buck/commit/ecd0ad5ab99b8d14f28881cf4f49ec01f2221776","src/com/facebook/buck/cxx/CxxSourceRuleFactory.java"
"MethodDeclaration:VariableDeclarationStatement","ParameterizedType: ImmutableList<String> [18744,18765]","ParameterizedType: ImmutableList<String> [18315,18336]","https://github.com/facebook/buck/commit/ecd0ad5ab99b8d14f28881cf4f49ec01f2221776","src/com/facebook/buck/cxx/CxxSourceRuleFactory.java"
"ParameterizedType:SingleVariableDeclaration","SimpleType: CxxPreprocessMode [17504,17521]","SimpleType: BuildRule [16165,16174]","https://github.com/facebook/buck/commit/ecd0ad5ab99b8d14f28881cf4f49ec01f2221776","src/com/facebook/buck/cxx/CxxSourceRuleFactory.java"
"MethodDeclaration:ParameterizedType","SimpleType: CxxPreprocessAndCompile [17341,17364]","SimpleType: BuildRule [16030,16039]","https://github.com/facebook/buck/commit/ecd0ad5ab99b8d14f28881cf4f49ec01f2221776","src/com/facebook/buck/cxx/CxxSourceRuleFactory.java"
"MethodInvocation:VariableDeclarationStatement","SimpleType: BuildTarget [17628,17639]","SimpleType: BuildRule [16307,16316]","https://github.com/facebook/buck/commit/ecd0ad5ab99b8d14f28881cf4f49ec01f2221776","src/com/facebook/buck/cxx/CxxSourceRuleFactory.java"
"ParameterizedType:SingleVariableDeclaration","SimpleType: BuildRuleResolver [17408,17425]","SimpleType: Tool [16094,16098]","https://github.com/facebook/buck/commit/ecd0ad5ab99b8d14f28881cf4f49ec01f2221776","src/com/facebook/buck/cxx/CxxSourceRuleFactory.java"
"MethodDeclaration:VariableDeclarationStatement","ParameterizedType: ImmutableList<String> [18394,18415]","ParameterizedType: ImmutableList<String> [16787,16808]","https://github.com/facebook/buck/commit/ecd0ad5ab99b8d14f28881cf4f49ec01f2221776","src/com/facebook/buck/cxx/CxxSourceRuleFactory.java"
"SingleVariableDeclaration:VariableDeclarationStatement","ParameterizedType: ImmutableSetMultimap<Class<? extends Annotation>,Element> [10273,10331]","ParameterizedType: ImmutableSetMultimap<Class<? extends Annotation>,Element> [11683,11741]","https://github.com/google/auto/commit/8fc60d81fe0e46e7e5c96e71d4a93fcadc6bde4f","common/src/main/java/com/google/auto/common/BasicAnnotationProcessor.java"
"SingleVariableDeclaration:VariableDeclarationStatement","ParameterizedType: ImmutableMap<String,Optional<? extends Element>> [6550,6599]","ParameterizedType: ImmutableMap<String,Optional<? extends Element>> [8279,8328]","https://github.com/google/auto/commit/8fc60d81fe0e46e7e5c96e71d4a93fcadc6bde4f","common/src/main/java/com/google/auto/common/BasicAnnotationProcessor.java"
"ParameterizedType:WildcardType","SimpleType: String [6563,6569]","SimpleType: Annotation [8236,8246]","https://github.com/google/auto/commit/8fc60d81fe0e46e7e5c96e71d4a93fcadc6bde4f","common/src/main/java/com/google/auto/common/BasicAnnotationProcessor.java"
"VariableDeclarationExpression:VariableDeclarationStatement","PrimitiveType: int [9023,9026]","PrimitiveType: int [9788,9791]","https://github.com/google/guava/commit/5bab9e837cf273250aa26702204f139fdcfd9e7a","guava/src/com/google/common/collect/HashBiMap.java"
"MethodDeclaration:VariableDeclarationStatement","PrimitiveType: int [9840,9843]","PrimitiveType: int [9828,9831]","https://github.com/google/guava/commit/5bab9e837cf273250aa26702204f139fdcfd9e7a","guava/src/com/google/common/collect/HashBiMap.java"
"SingleVariableDeclaration:VariableDeclarationStatement","PrimitiveType: int [4195,4198]","PrimitiveType: int [3923,3926]","https://github.com/google/guava/commit/5bab9e837cf273250aa26702204f139fdcfd9e7a","guava/src/com/google/common/collect/HashBiMap.java"
"FieldDeclaration:MethodDeclaration","PrimitiveType: int [9928,9931]","PrimitiveType: int [11994,11997]","https://github.com/google/guava/commit/5bab9e837cf273250aa26702204f139fdcfd9e7a","guava/src/com/google/common/collect/HashBiMap.java"
"VariableDeclarationExpression:VariableDeclarationStatement","ParameterizedType: BiEntry<K,V> [9084,9097]","ParameterizedType: BiEntry<K,V> [11127,11140]","https://github.com/google/guava/commit/5bab9e837cf273250aa26702204f139fdcfd9e7a","guava/src/com/google/common/collect/HashBiMap.java"
"CastExpression:ParameterizedType","SimpleType: Object [22320,22326]","SimpleType: Object [22049,22055]","https://github.com/google/truth/commit/1768840bf1e69892fd2a23776817f620edfed536","core/src/test/java/com/google/common/truth/IterableTest.java"
"CastExpression:ParameterizedType","SimpleType: Object [4942,4948]","SimpleType: Object [4770,4776]","https://github.com/google/truth/commit/1768840bf1e69892fd2a23776817f620edfed536","core/src/test/java/com/google/common/truth/IterableTest.java"
"ParameterizedType:SingleVariableDeclaration","SimpleType: Object [23852,23858]","SimpleType: Comparator [26351,26361]","https://github.com/google/truth/commit/1768840bf1e69892fd2a23776817f620edfed536","core/src/test/java/com/google/common/truth/IterableTest.java"
"FieldDeclaration:MethodDeclaration","ParameterizedType: Iterable<Object> [23826,23842]","ParameterizedType: Comparator<String> [26301,26319]","https://github.com/google/truth/commit/1768840bf1e69892fd2a23776817f620edfed536","core/src/test/java/com/google/common/truth/IterableTest.java"
"CastExpression:ParameterizedType","SimpleType: Object [10168,10174]","SimpleType: Object [9959,9965]","https://github.com/google/truth/commit/1768840bf1e69892fd2a23776817f620edfed536","core/src/test/java/com/google/common/truth/IterableTest.java"
"SingleVariableDeclaration:TypeLiteral","SimpleType: Converter [4962,4971]","SimpleType: Class [4914,4919]","https://github.com/hibernate/hibernate-orm/commit/2b89553db5081fe4e55b7b34d636d0ea2acf71c5","hibernate-core/src/main/java/org/hibernate/boot/model/source/internal/annotations/AnnotationMetadataSourceProcessorImpl.java"
"MethodDeclaration:SingleVariableDeclaration","PrimitiveType: int [2637,2640]","PrimitiveType: int [2839,2842]","https://github.com/iNPUTmice/Conversations/commit/e6cb12dfe414497b4317820497985c110cb81864","src/main/java/eu/siacs/conversations/ui/adapter/MessageAdapter.java"
"MethodDeclaration:SingleVariableDeclaration","ParameterizedType: CacheEntryEvent<K,V> [55964,55985]","ParameterizedType: Event<K,V> [56035,56046]","https://github.com/infinispan/infinispan/commit/03573a655bcbb77f7a76d8e22d851cc22796b4f8","core/src/main/java/org/infinispan/notifications/cachelistener/CacheNotifierImpl.java"
"SingleVariableDeclaration:VariableDeclarationStatement","PrimitiveType: boolean [56249,56256]","PrimitiveType: boolean [56202,56209]","https://github.com/infinispan/infinispan/commit/03573a655bcbb77f7a76d8e22d851cc22796b4f8","core/src/main/java/org/infinispan/notifications/cachelistener/CacheNotifierImpl.java"
"MethodDeclaration:SingleVariableDeclaration","PrimitiveType: boolean [56028,56035]","PrimitiveType: boolean [56014,56021]","https://github.com/infinispan/infinispan/commit/03573a655bcbb77f7a76d8e22d851cc22796b4f8","core/src/main/java/org/infinispan/notifications/cachelistener/CacheNotifierImpl.java"
"MethodDeclaration:SingleVariableDeclaration","SimpleType: String [20949,20955]","SimpleType: String [21482,21488]","https://github.com/jOOQ/jOOQ/commit/227254cf769f3e821ed1b2ef2d88c4ec6b20adea","jOOQ/src/main/java/org/jooq/impl/ResultImpl.java"
"ClassInstanceCreation:VariableDeclarationStatement","SimpleType: StringWriter [19820,19832]","SimpleType: StringWriter [19951,19963]","https://github.com/jOOQ/jOOQ/commit/227254cf769f3e821ed1b2ef2d88c4ec6b20adea","jOOQ/src/main/java/org/jooq/impl/ResultImpl.java"
"ClassInstanceCreation:SingleVariableDeclaration","SimpleType: StringWriter [19846,19858]","SimpleType: String [21931,21937]","https://github.com/jOOQ/jOOQ/commit/227254cf769f3e821ed1b2ef2d88c4ec6b20adea","jOOQ/src/main/java/org/jooq/impl/ResultImpl.java"
"CastExpression:TypeLiteral","SimpleType: Temporal [24727,24735]","SimpleType: Temporal [29012,29020]","https://github.com/jOOQ/jOOQ/commit/58a4e74d28073e7c6f15d1f225ac1c2fd9aa4357","jOOQ/src/main/java/org/jooq/tools/Convert.java"
"CastExpression:TypeLiteral","SimpleType: Temporal [31166,31174]","SimpleType: Temporal [23667,23675]","https://github.com/jOOQ/jOOQ/commit/58a4e74d28073e7c6f15d1f225ac1c2fd9aa4357","jOOQ/src/main/java/org/jooq/tools/Convert.java"
"CastExpression:TypeLiteral","SimpleType: Temporal [20438,20446]","SimpleType: U [20570,20571]","https://github.com/jOOQ/jOOQ/commit/58a4e74d28073e7c6f15d1f225ac1c2fd9aa4357","jOOQ/src/main/java/org/jooq/tools/Convert.java"
"CastExpression:TypeLiteral","SimpleType: Temporal [24636,24644]","SimpleType: U [23650,23651]","https://github.com/jOOQ/jOOQ/commit/58a4e74d28073e7c6f15d1f225ac1c2fd9aa4357","jOOQ/src/main/java/org/jooq/tools/Convert.java"
"TypeLiteral:VariableDeclarationStatement","SimpleType: Temporal [24706,24714]","SimpleType: Temporal [23572,23580]","https://github.com/jOOQ/jOOQ/commit/58a4e74d28073e7c6f15d1f225ac1c2fd9aa4357","jOOQ/src/main/java/org/jooq/tools/Convert.java"
"TypeLiteral:VariableDeclarationStatement","SimpleType: Temporal [20508,20516]","SimpleType: Temporal [20492,20500]","https://github.com/jOOQ/jOOQ/commit/58a4e74d28073e7c6f15d1f225ac1c2fd9aa4357","jOOQ/src/main/java/org/jooq/tools/Convert.java"
"SingleVariableDeclaration:VariableDeclarationStatement","PrimitiveType: char [71281,71285]","PrimitiveType: char [72627,72631]","https://github.com/jline/jline2/commit/80d3ffb5aafa90992385c17e8338c2cc5def3cec","src/main/java/jline/console/ConsoleReader.java"
"SingleVariableDeclaration:VariableDeclarationStatement","PrimitiveType: char [71131,71135]","PrimitiveType: char [72777,72781]","https://github.com/jline/jline2/commit/80d3ffb5aafa90992385c17e8338c2cc5def3cec","src/main/java/jline/console/ConsoleReader.java"
"CastExpression:SingleVariableDeclaration","PrimitiveType: char [71413,71417]","PrimitiveType: char [72468,72472]","https://github.com/jline/jline2/commit/80d3ffb5aafa90992385c17e8338c2cc5def3cec","src/main/java/jline/console/ConsoleReader.java"
"ParameterizedType:SingleVariableDeclaration","SimpleType: Class [7999,8004]","SimpleType: ExtensionRegistry [7765,7782]","https://github.com/junit-team/junit5/commit/6b575f2ee5f02288a774ff0a85ce3a3e3cb6946f","junit5-engine/src/main/java/org/junit/gen5/engine/junit5/descriptor/ClassTestDescriptor.java"
"ParameterizedType:SingleVariableDeclaration","SimpleType: ExtensionRegistry [7915,7932]","SimpleType: Method [7748,7754]","https://github.com/junit-team/junit5/commit/6b575f2ee5f02288a774ff0a85ce3a3e3cb6946f","junit5-engine/src/main/java/org/junit/gen5/engine/junit5/descriptor/ClassTestDescriptor.java"
"ParameterizedType:TypeParameter","SimpleType: Extension [7862,7871]","SimpleType: List [7743,7747]","https://github.com/junit-team/junit5/commit/6b575f2ee5f02288a774ff0a85ce3a3e3cb6946f","junit5-engine/src/main/java/org/junit/gen5/engine/junit5/descriptor/ClassTestDescriptor.java"
"ClassInstanceCreation:VariableDeclarationStatement","SimpleType: MessagingException [21386,21404]","SimpleType: MessagingException [21358,21376]","https://github.com/k9mail/k-9/commit/9d44f0e06232661259681d64002dd53c7c43099d","k9mail-library/src/main/java/com/fsck/k9/mail/transport/SmtpTransport.java"
"MethodDeclaration:VariableDeclarationStatement","SimpleType: MouseAdapter [7358,7370]","SimpleType: MouseAdapter [12500,12512]","https://github.com/languagetool-org/languagetool/commit/01cddc5afb590b4d36cb784637a8ea8aa31d3561","languagetool-gui-commons/src/main/java/org/languagetool/gui/ConfigurationDialog.java"
"ArrayType:SingleVariableDeclaration","PrimitiveType: long [23675,23679]","PrimitiveType: long [23876,23880]","https://github.com/liferay/liferay-plugins/commit/720b0d2064ecc4403809e794075e9fe8cfa857f1","portlets/calendar-portlet/docroot/WEB-INF/src/com/liferay/calendar/service/impl/CalendarBookingLocalServiceImpl.java"
"ArrayType:SingleVariableDeclaration","PrimitiveType: long [23564,23568]","PrimitiveType: long [23819,23823]","https://github.com/liferay/liferay-plugins/commit/720b0d2064ecc4403809e794075e9fe8cfa857f1","portlets/calendar-portlet/docroot/WEB-INF/src/com/liferay/calendar/service/impl/CalendarBookingLocalServiceImpl.java"
"CastExpression:SingleVariableDeclaration","SimpleType: ThemeDisplay [2229,2241]","SimpleType: IOException [2476,2487]","https://github.com/liferay/liferay-plugins/commit/d99695841fa675ea9150602b1132f037093e867d","portlets/marketplace-portlet/docroot/WEB-INF/src/com/liferay/marketplace/store/portlet/RemoteMVCPortlet.java"
"MethodDeclaration:VariableDeclarationStatement","SimpleType: ThemeDisplay [2200,2212]","SimpleType: PortletException [2376,2392]","https://github.com/liferay/liferay-plugins/commit/d99695841fa675ea9150602b1132f037093e867d","portlets/marketplace-portlet/docroot/WEB-INF/src/com/liferay/marketplace/store/portlet/RemoteMVCPortlet.java"
"FieldDeclaration:SingleVariableDeclaration","PrimitiveType: boolean [5186,5193]","PrimitiveType: boolean [5692,5699]","https://github.com/linkedin/rest.li/commit/bd0d3bf75d31a8b5db34b8b66dfb28e5e1f492de","generator/src/main/java/com/linkedin/pegasus/generator/JavaDataTemplateGenerator.java"
"FieldDeclaration:TypeDeclaration","SimpleType: PropertyDefinerBase [23247,23266]","SimpleType: String [2839,2845]","https://github.com/opentripplanner/OpenTripPlanner/commit/334dbc7cf3432e7c17b0ed98801e61b0b591b408","src/main/java/org/opentripplanner/analyst/cluster/AnalystWorker.java"
